Interval start,prague-latency,cubic-latency
0,0.000369053,0.000415565
1,0.000365473,0.000416234
2,0.000440364,0.000403944
3,0.000362544,0.000413544
4,0.000427941,0.000348768
5,0.000417917,0.000388347
6,0.000448493,0.000366712
7,0.000435306,0.000395768
8,0.000443258,0.000385017
9,0.000466757,0.00045547
10,0.000422793,0.000377474
11,0.000439942,0.000372318
12,0.000394988,0.000416896
13,0.000410189,0.000404387
14,0.000401561,0.000437212
15,0.0004126,0.00042925
16,0.000423279,0.000406003
17,0.000424739,0.000432957
18,0.000412681,0.000432104
19,0.000423621,0.00039568
20,0.000413531,0.000421196
21,0.000468724,0.000438768
22,0.000443983,0.000413447
23,0.000451835,0.000407181
24,0.000469007,0.000434869
25,0.000428183,0.000427203
26,0.000436701,0.000429039
27,0.000420799,0.000412334
28,0.000394947,0.000459329
29,0.000443713,0.000539288
30,0.000431472,0.0004313
31,0.00043759,0.000399533
32,0.000435829,0.00043064
33,0.000470005,0.000494686
34,0.00039942,0.000431
35,0.000430119,0.000416681
36,0.0004134,0.000428065
37,0.000428877,0.000430695
38,0.000432992,0.000402151
39,0.000386471,0.000432497
40,0.00041905,0.000415659
41,0.000487971,0.000467956
42,0.000405762,0.00042686
43,0.000478328,0.000464705
44,0.000410172,0.000435461
45,0.000450252,0.000422096
46,0.000433205,0.000394648
47,0.00044705,0.00046443
48,0.000416742,0.000490206
49,0.00042702,0.000435576
50,0.000451935,0.000484921
51,0.000439788,0.000453236
52,0.000436677,0.000408174
53,0.000374604,0.000381552
54,0.000358919,0.000353182
55,0.000388351,0.000395927
56,0.000387056,0.000364753
57,0.000350432,0.00038252
58,0.000374857,0.000367416
59,0.000375476,0.000442952
60,0.000422958,0.000407165
61,0.000397273,0.00044336
62,0.000441101,0.000468763
63,0.00042985,0.000403431
64,0.000430104,0.000443311
65,0.00039546,0.000443152
66,0.000459601,0.000454041
67,0.000414032,0.000444166
68,0.000423143,0.000415183
69,0.000523094,0.000448244
70,0.000452801,0.000425181
71,0.000427718,0.000425844
72,0.000425947,0.000411343
73,0.000421495,0.000424871
74,0.000435502,0.000399982
75,0.000417101,0.000428568
76,0.000433093,0.000426454
77,0.000473057,0.000470907
78,0.000447419,0.000404525
79,0.000441532,0.000445483
80,0.000470604,0.000399056
81,0.000512561,0.000536745
82,0.000441371,0.000451539
83,0.000498888,0.000501174
84,0.000430517,0.000442949
85,0.000479066,0.000413874
86,0.000472124,0.000453019
87,0.000439906,0.000464279
88,0.000445184,0.000522906
89,0.000523559,0.00042997
90,0.000448013,0.000439508
91,0.000385893,0.000435504
92,0.00036383,0.000393619
93,0.00041142,0.000455319
94,0.000399466,0.000359655
95,0.000374711,0.000358491
96,0.000368385,0.000399433
97,0.000375361,0.000412313
98,0.000426385,0.000433021
99,0.00041835,0.000442154
100,0.000453091,0.000430187
101,0.000473082,0.000434241
102,0.000520932,0.000405045
103,0.000414404,0.00047562
104,0.000437635,0.000455557
105,0.000432247,0.000428842
106,0.000421548,0.000388921
107,0.000400235,0.000428105
108,0.000403433,0.00042791
109,0.000420085,0.000428492
110,0.000423352,0.000435973
111,0.000427874,0.000417626
112,0.000463616,0.00042342
113,0.000412451,0.00042919
114,0.000438938,0.000424144
115,0.000394609,0.000470964
116,0.000439697,0.00043242
117,0.000399913,0.000480486
118,0.000396456,0.000445612
119,0.000413971,0.000437335
120,0.000425353,0.000403902
121,0.00041634,0.000426148
122,0.000440561,0.000423823
123,0.000434375,0.000463594
124,0.000424155,0.000416904
125,0.000448517,0.000393475
126,0.000442045,0.000413796
127,0.000453327,0.000463311
128,0.000431509,0.000412205
129,0.000444538,0.00051068
130,0.000349222,0.000373982
131,0.000374856,0.000352355
132,0.000340608,0.000341985
133,0.000326097,0.00039176
134,0.000365575,0.000367493
135,0.000366915,0.000335792
136,0.000400006,0.000421564
137,0.000438287,0.000411613
138,0.000378483,0.00042797
139,0.000380968,0.000428756
140,0.00041684,0.000429567
141,0.000502456,0.000440786
142,0.000435184,0.00042448
143,0.000399562,0.000447395
144,0.000411751,0.000414971
145,0.000435317,0.000410175
146,0.000438709,0.000420359
147,0.000424982,0.000410679
148,0.000472358,0.000447005
149,0.000411819,0.000414539
150,0.000384862,0.000429641
,0.000424475,0.000425001
