Interval start,prague-latency,cubic-latency,,
0,0.000387191,0.000445442,,
1,0.000387135,0.000410113,,
2,0.000370482,0.000393277,,
3,0.000350644,0.000415278,,
4,0.000384156,0.000396701,,
5,0.000381129,0.000398353,,
6,0.00039492,0.000363895,,
7,0.000349144,0.000412463,,
8,0.00038832,0.000400686,,
9,0.000374029,0.000409958,,
10,0.000355641,0.000402829,,
11,0.000393315,0.000374287,,
12,0.000359042,0.00041887,,
13,0.000364137,0.000446442,,
14,0.000336573,0.000451473,,
15,0.000351443,0.000418065,,
16,0.000364935,0.000424447,,
17,0.000413664,0.000467212,,
18,0.000358258,0.000404646,,
19,0.000378918,0.000438176,,
20,0.000377505,0.000398046,,
21,0.000373736,0.000410213,,
22,0.000368404,0.000414426,,
23,0.000387226,0.000387719,,
24,0.000357672,0.000422462,,
25,0.000354774,0.000430318,,
26,0.000383076,0.000394103,,
27,0.00037602,0.000429374,,
28,0.000362451,0.000413774,,
29,0.000399179,0.000385974,,
30,0.000390547,0.000388318,,
31,0.00040712,0.0004165,,
32,0.000392965,0.000407556,,
33,0.000402413,0.000448035,,
34,0.000380224,0.000407814,,
35,0.000386502,0.000406708,,
36,0.000363413,0.000425547,,
37,0.000385125,0.000421535,,
38,0.00037712,0.000413495,,
39,0.00038556,0.000396685,,
40,0.000361652,0.000423229,,
41,0.000365118,0.000424944,,
42,0.000358196,0.000399081,,
43,0.000357639,0.000419424,,
44,0.000356192,0.00039973,,
45,0.000388872,0.000394146,,
46,0.000370683,0.000429131,,
47,0.000362228,0.000405023,,
48,0.00041389,0.000411541,,
49,0.000400948,0.000402808,,
50,0.000361452,0.000424347,,
51,0.000353677,0.000406971,,
52,0.000368665,0.000413722,,
53,0.000377445,0.000382097,,
54,0.000372,0.000403542,,
55,0.000419267,0.000415912,,
56,0.000362741,0.00040716,,
57,0.000364725,0.000412522,,
58,0.000363209,0.000440737,,
59,0.00043765,0.000381228,,
60,0.000361679,0.000417044,,
61,0.000454618,0.000435469,,
62,0.000499417,0.000629239,,
63,0.00044228,0.000408897,,
64,0.000454581,0.00052725,,
65,0.00039685,0.000494552,,
66,0.000393711,0.000425118,,
67,0.000359005,0.00039638,,
68,0.000379344,0.000404267,,
69,0.00039076,0.000384896,,
70,0.000381864,0.000407493,,
71,0.00047401,0.00117227,,
72,0.000599827,0.000982057,,
73,0.00117648,0.00130026,,
74,0.000615842,0.000722449,,
75,0.000629528,0.000394068,,
76,0.000355723,0.000400845,,
77,0.000377556,0.000478496,,
78,0.000360189,0.000412856,,
79,0.000379259,0.000396095,,
80,0.000409645,0.000425705,,
81,0.000491557,0.00052755,,
82,0.00044484,0.000471877,,
83,0.000395567,0.000425897,,
84,0.000437958,0.000528721,,
85,0.000411821,0.000410407,,
86,0.000441721,0.000575135,,
87,0.000371539,0.000395575,,
88,0.000387928,0.00037157,,
89,0.000493761,0.000450264,,
90,0.000454371,0.000445521,,
91,0.00042585,0.000430619,,
92,0.00039729,0.000479006,,
93,0.00041875,0.00042652,,
94,0.000377284,0.000412488,,
95,0.000417534,0.000458539,,
96,0.000397463,0.000393556,,
97,0.000371724,0.000432801,,
98,0.000393382,0.000401994,,
99,0.000403459,0.000377241,,
100,0.000365381,0.000418749,,
101,0.000398632,0.000397521,,
102,0.000408629,0.000425514,,
103,0.000406924,0.000458099,,
104,0.000361586,0.000454743,,
105,0.000400532,0.00045137,,
106,0.00037732,0.000431632,,
107,0.000493343,0.000477665,,
108,0.000420625,0.000449473,,
109,0.000362368,0.000413195,,
110,0.000330222,0.000416035,,
111,0.000438191,0.000473457,,
112,0.000586299,0.000685814,,
113,0.000602908,0.000782617,,
114,0.000401767,0.000405397,,
115,0.000327932,0.000434142,,
116,0.000411139,0.000430043,,
117,0.000404957,0.00040097,,
118,0.000357129,0.000391651,,
119,0.000355106,0.000418062,,
120,0.000360483,0.000406704,,
121,0.000380358,0.000406841,,
122,0.000369556,0.000454501,,
123,0.000358306,0.000415019,,
124,0.000415349,0.000410867,,
125,0.000402429,0.000474599,,
126,0.000382559,0.000435719,,
127,0.000393973,0.000447995,,
128,0.000395675,0.000436638,,
129,0.000364052,0.000445477,,
130,0.000375191,0.000415598,,
131,0.000368523,0.000403556,,
132,0.000353575,0.000402405,,
133,0.000361994,0.000425188,,
134,0.000358514,0.000415688,,
135,0.00037416,0.000386228,,
136,0.000357009,0.000407724,,
137,0.000395927,0.000564874,,
138,0.000353552,0.000417238,,
139,0.000366181,0.00042991,,
140,0.000376022,0.000388358,,
141,0.000365206,0.000406561,,
142,0.000381084,0.0004004,,
143,0.000378335,0.000390572,,
144,0.000345702,0.000405027,,
145,0.000366749,0.000402148,,
146,0.000380096,0.000434515,,
147,0.000365828,0.000386539,,
148,0.000395694,0.000389407,,
149,0.000391166,0.000407742,,
150,0.000370543,0.000411443,,
,0.000398749,0.000443584,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,.
