Interval start,prague-latency,cubic-latency
0,0.000420032,0.000362961
1,0.000431097,0.000394789
2,0.000407463,0.000388539
3,0.000420439,0.00041184
4,0.000531517,0.000412473
5,0.000418402,0.000396053
6,0.000425602,0.000383563
7,0.000419479,0.000423142
8,0.000434563,0.000422885
9,0.000393685,0.000406395
10,0.00045278,0.000379421
11,0.000405803,0.000526563
12,0.000410297,0.000418854
13,0.000404954,0.000386833
14,0.000429858,0.000429278
15,0.00042718,0.000458705
16,0.000456708,0.000497042
17,0.000399904,0.000386339
18,0.000398523,0.000438357
19,0.0004277,0.000383326
20,0.000382891,0.000402579
21,0.000409437,0.00040883
22,0.000398315,0.000397154
23,0.000573981,0.000461271
24,0.00040214,0.000430264
25,0.000428712,0.000387764
26,0.000427892,0.000383428
27,0.000419271,0.000433342
28,0.000390493,0.000385063
29,0.000415514,0.000408582
30,0.000445749,0.000429984
31,0.000396208,0.000394706
32,0.000428136,0.000393603
33,0.000444843,0.000400883
34,0.000430768,0.000425736
35,0.00079907,0.000766013
36,0.000884298,0.00121951
37,0.000986104,0.000926152
38,0.000436279,0.000616137
39,0.000379762,0.000457589
40,0.000364945,0.000426397
41,0.000368024,0.000422435
42,0.000395272,0.000376831
43,0.00041695,0.000375567
44,0.00042309,0.000424044
45,0.000401577,0.000394506
46,0.000400964,0.000409377
47,0.000391982,0.00040277
48,0.000416201,0.000384422
49,0.00042237,0.000388744
50,0.000407542,0.00038306
51,0.000418122,0.000445283
52,0.000404992,0.000381452
53,0.000401455,0.000396037
54,0.00042211,0.000390435
55,0.000380341,0.000448395
56,0.000461828,0.000439931
57,0.000434902,0.000453979
58,0.000395094,0.000420885
59,0.000409216,0.000403484
60,0.000479035,0.000434426
61,0.000448621,0.000473759
62,0.000420241,0.000416861
63,0.000385805,0.000410836
64,0.000517884,0.000428696
65,0.000395914,0.00039881
66,0.000376717,0.00041763
67,0.000414767,0.000403789
68,0.000461086,0.000407409
69,0.000407883,0.000422997
70,0.000383719,0.000406468
71,0.000426367,0.000426639
72,0.000424432,0.000431436
73,0.000438444,0.000383218
74,0.00042588,0.000404279
75,0.000473902,0.000421498
76,0.000413476,0.000514425
77,0.000398138,0.000424542
78,0.000388476,0.000413719
79,0.000400217,0.000398649
80,0.000394091,0.000415032
81,0.000403392,0.000390209
82,0.000435324,0.000391721
83,0.000435826,0.000420898
84,0.000432184,0.000459087
85,0.000409691,0.000403005
86,0.000410786,0.000451807
87,0.000421058,0.000423106
88,0.000384493,0.000404307
89,0.00039253,0.000402979
90,0.000430117,0.000404945
91,0.000413292,0.000459219
92,0.000428049,0.000391274
93,0.000414825,0.000387665
94,0.000400839,0.000427362
95,0.00038573,0.000401495
96,0.000407822,0.000422145
97,0.000455835,0.000429334
98,0.000437766,0.000460589
99,0.000453126,0.00043557
100,0.000412183,0.000456823
101,0.000467617,0.000413951
102,0.000419729,0.000439128
103,0.000428158,0.000385038
104,0.000405685,0.000418146
105,0.000413846,0.000389412
106,0.000422083,0.000429741
107,0.000375295,0.000436877
108,0.000390651,0.000412632
109,0.000412372,0.000383239
110,0.000416681,0.000402783
111,0.000404594,0.000422759
112,0.000477469,0.000569067
113,0.000416335,0.000429674
114,0.000414916,0.000432693
115,0.000406932,0.000420711
116,0.000435409,0.000412396
117,0.000433442,0.000447837
118,0.000405455,0.000460778
119,0.000409094,0.000423783
120,0.000473532,0.000467027
121,0.000435815,0.000443177
122,0.000439301,0.000467438
123,0.000397649,0.000426081
124,0.00045532,0.000457673
125,0.000411712,0.000427699
126,0.000472474,0.000400472
127,0.000422321,0.000426417
128,0.000407618,0.00040084
129,0.000406174,0.000412496
130,0.000446814,0.000378019
131,0.000449744,0.000474376
132,0.000426458,0.000440059
133,0.000426577,0.000467935
134,0.000408856,0.000422504
135,0.000426411,0.000398262
136,0.000424295,0.000414121
137,0.000432124,0.000395998
138,0.000415334,0.00040484
139,0.000432793,0.000418905
140,0.000482943,0.000462729
141,0.000411958,0.000473006
142,0.000506211,0.000418763
143,0.000439866,0.000472692
144,0.000446169,0.000431506
145,0.000449532,0.000397546
146,0.000402452,0.000463085
147,0.000383891,0.000416478
148,0.000371428,0.000438546
149,0.00040501,0.000409096
150,0.000462077,0.00044485
,0.000431135,0.000433019
