Interval start,prague-throughput,cubic-throughput
0,1490000,783534
1,1590000,842782
2,1590000,848228
3,1550000,836492
4,1520000,832588
5,1520000,870658
6,1580000,871204
7,1500000,899392
8,1570000,891354
9,1470000,907556
10,1410000,863290
11,1490000,936476
12,1470000,989012
13,1460000,996386
14,1430000,991416
15,1400000,1010000
16,1280000,1070000
17,1410000,1030000
18,1320000,1040000
19,1280000,1170000
20,1330000,1100000
21,1300000,1140000
22,1180000,1200000
23,1230000,1090000
24,1250000,1210000
25,1260000,1240000
26,1170000,1270000
27,1170000,1270000
28,1190000,1290000
29,1180000,1140000
30,1030000,1340000
31,1030000,1210000
32,1190000,1160000
33,1200000,1030000
34,908750,1490000
35,1150000,1240000
36,1290000,1050000
37,1050000,1360000
38,1090000,1140000
39,1200000,1130000
40,1030000,1370000
41,1150000,1230000
42,1220000,1080000
43,1000000,1420000
44,1100000,1240000
45,1210000,1060000
46,1150000,1260000
47,913326,1360000
48,1270000,1190000
49,1220000,1210000
50,1060000,1310000
51,940312,1020000
52,1280000,1170000
53,1070000,1400000
54,1140000,1160000
55,1250000,1220000
56,967258,1390000
57,1120000,1210000
58,1350000,1040000
59,1070000,1330000
60,931038,1440000
61,1280000,982012
62,1070000,1270000
63,1030000,1270000
64,1190000,1230000
65,1210000,1210000
66,1060000,1310000
67,1180000,1250000
68,1190000,1210000
69,987292,1350000
70,1190000,1170000
71,1270000,1120000
72,1010000,1240000
73,1030000,1440000
74,1240000,1090000
75,1080000,1350000
76,1140000,1360000
77,1390000,959342
78,937790,1310000
79,1160000,1300000
80,1250000,1210000
81,1060000,1490000
82,1080000,1340000
83,1340000,1040000
84,1190000,1210000
85,1020000,1380000
86,1130000,1230000
87,1100000,1330000
88,1120000,1350000
89,1250000,1190000
90,1290000,1080000
91,1040000,1420000
92,1100000,1340000
93,1250000,1210000
94,966478,1470000
95,1210000,1170000
96,1400000,987146
97,1040000,1370000
98,959292,1310000
99,1180000,1100000
100,1030000,1320000
101,1140000,1260000
102,1290000,1090000
103,1180000,1250000
104,1010000,1370000
105,1260000,1150000
106,1050000,1350000
107,945048,1370000
108,563164,579492
109,530824,339426
110,852018,622398
111,962242,1170000
112,1100000,1320000
113,1300000,1140000
114,962068,1460000
115,938408,1500000
116,1550000,894154
117,1120000,1320000
118,1240000,1220000
119,1120000,1330000
120,1040000,1470000
121,1030000,1090000
122,1180000,1200000
123,1410000,998730
124,914904,1220000
125,1040000,1460000
126,1220000,1210000
127,1070000,1380000
128,1100000,1320000
129,1420000,1020000
130,1130000,1320000
131,1120000,1360000
132,1190000,1220000
133,1040000,1380000
134,1080000,1330000
135,1500000,923694
136,1070000,1390000
137,1100000,1380000
138,1050000,1150000
139,1110000,1390000
140,1080000,1240000
141,1350000,1110000
142,1090000,1340000
143,1110000,1260000
144,1160000,1220000
145,1120000,1290000
146,1100000,1320000
147,1210000,1250000
148,1320000,1130000
149,1080000,1450000
150,1130000,1300000
,1175220.146,1190089.086
,,
