Interval start,prague-latency,cubic-latency
0,0.000368371,0
1,0.000361863,0
2,0.000455586,0.000322758
3,0.000359909,0.000730371
4,0.000366298,0.000355855
5,0.00036221,0.000515045
6,0.000352319,0.000683254
7,0.000357817,0.000296
8,0.000356763,0.000509463
9,0.000355145,0.000515078
10,0.000360499,0.000455688
11,0.000370864,0.000380523
12,0.0003983,0.000426203
13,0.000388295,0.00032365
14,0.000362219,0.00061846
15,0.000359322,0.000292003
16,0.000361329,0.000531059
17,0.000359992,0.000549354
18,0.000398661,0.000255798
19,0.000357122,0.000372825
20,0.000367804,0.000465396
21,0.000371161,0.000394429
22,0.00038401,0.000281374
23,0.000359887,0.000411658
24,0.000374292,0.00039884
25,0.000367836,0.000586433
26,0.000360819,0.000417769
27,0.000375667,0.000345555
28,0.000365861,0.000595911
29,0.00036128,0.000493804
30,0.000372574,0.00043472
31,0.000368072,0.000350027
32,0.000366941,0.000428176
33,0.000359546,0.000472877
34,0.000360166,0.000461379
35,0.000366457,0.000352864
36,0.000333699,0.000538055
37,0.000254843,0.00029443
38,0.000370591,0.00033819
39,0.000361478,0.000395146
40,0.000370416,0.000337041
41,0.000356699,0.00039003
42,0.000348964,0.000418314
43,0.000413743,0.0006795
44,0.000340859,0.000478954
45,0.000383677,0.000354571
46,0.000348523,0.000515784
47,0.000355567,0.000380957
48,0.000405794,0.000530748
49,0.000339811,0.000449505
50,0.000322743,0.000403287
51,0.000341939,0.000382279
52,0.000359497,0.000329469
53,0.000354318,0.000425278
54,0.000337903,0.000470511
55,0.000407466,0.000489163
56,0.00036929,0.000414031
57,0.000336579,0.000625186
58,0.000349443,0.00047512
59,0.000361559,0.00041806
60,0.000358936,0.000388232
61,0.0004283,0.000526036
62,0.0003476,0.000475624
63,0.000367352,0.000395271
64,0.000361658,0.000422736
65,0.000352908,0.00041425
66,0.000443196,0.00048507
67,0.000343719,0.000413993
68,0.000326334,0.00053415
69,0.000339939,0.000447938
70,0.00034487,0.000420978
71,0.00036218,0.000378149
72,0.000380618,0.00052995
73,0.000357496,0.000539933
74,0.000348397,0.000463029
75,0.000350028,0.000488208
76,0.000334329,0.000482868
77,0.000363848,0.00057456
78,0.000356536,0.000520197
79,0.000338163,0.000475645
80,0.00031741,0.000498943
81,0.000352059,0.000411941
82,0.000348676,0.000464317
83,0.000352881,0.000475191
84,0.000363452,0.000501957
85,0.000369016,0.000423052
86,0.000352647,0.000482079
87,0.00037082,0.00040602
88,0.000372898,0.000524917
89,0.000414658,0.000592647
90,0.000337636,0.000514006
91,0.000358123,0.00040144
92,0.000353198,0.000448472
93,0.000274636,0.000374175
94,0.000298738,0.000364257
95,0.000292256,0.000352455
96,0.000254229,0.000378056
97,0.000286793,0.000280799
98,0.000295106,0.000400149
99,0.000368302,0.000412747
100,0.000357282,0.000435267
101,0.000365451,0.000419074
102,0.000347392,0.000424463
103,0.000331615,0.000418697
104,0.000306404,0.000443881
105,0.000300284,0.000542717
106,0.000341819,0.000458294
107,0.000348136,0.00049894
108,0.000322329,0.00049064
109,0.00032006,0.000456117
110,0.000324141,0.00045047
111,0.000318108,0.000397863
112,0.000313038,0.000413513
113,0.000298229,0.00040079
114,0.000307374,0.000386585
115,0.000336227,0.000417584
116,0.000336087,0.000466296
117,0.000336415,0.000459008
118,0.000328413,0.000485047
119,0.000350683,0.000438496
120,0.000329888,0.000538526
121,0.00034023,0.000425341
122,0.000334766,0.000427892
123,0.000344316,0.000450413
124,0.000352968,0.000535612
125,0.000334228,0.000575475
126,0.000419898,0.000399056
127,0.000378393,0.000437408
128,0.000398044,0.000450041
129,0.000383732,0.000428918
130,0.000377208,0.000378338
131,0.00036522,0.000379272
132,0.000386267,0.000420266
133,0.000357225,0.000434078
134,0.000365175,0.00038673
135,0.000338841,0.00040975
136,0.000355127,0.000439191
137,0.000357341,0.000389874
138,0.00036718,0.000419968
139,0.000385664,0.000482319
140,0.000356362,0.000408302
141,0.000362682,0.000386894
142,0.000351103,0.000437208
143,0.000359513,0.00041898
144,0.000362587,0.000476063
145,0.000385242,0.000413141
146,0.00036595,0.000434163
147,0.000358958,0.000433346
148,0.000364213,0.000404368
149,0.000378987,0.000386454
150,0.000335976,0.00044206
,0.000354989,0.000437059
