Interval start,prague-throughput,cubic-throughput,
0,481056,1.90E+06,
1,461602,1.86E+06,
2,461134,1.83E+06,
3,447696,1.87E+06,
4,458496,1.84E+06,
5,477288,1.88E+06,
6,437994,1.85E+06,
7,463272,1.85E+06,
8,461524,1.84E+06,
9,463382,1.86E+06,
10,452128,1.90E+06,
11,455312,1.82E+06,
12,429138,1.75E+06,
13,468320,2.04E+06,
14,458496,1.86E+06,
15,436130,1.79E+06,
16,380640,2.03E+06,
17,466456,1.90E+06,
18,464864,1.85E+06,
19,428248,1.75E+06,
20,442342,1.80E+06,
21,451086,1.81E+06,
22,444796,1.75E+06,
23,323604,1.87E+06,
24,434382,1.83E+06,
25,437566,1.81E+06,
26,399046,1.85E+06,
27,423472,1.75E+06,
28,444168,1.87E+06,
29,442342,1.88E+06,
30,285786,2.05E+06,
31,439314,1.85E+06,
32,439314,1.83E+06,
33,353346,1.95E+06,
34,423316,1.77E+06,
35,433180,1.90E+06,
36,429762,1.92E+06,
37,195042,2.12E+06,
38,450536,1.90E+06,
39,428092,1.91E+06,
40,418696,1.90E+06,
41,272154,2.02E+06,
42,417104,1.89E+06,
43,386778,1.83E+06,
44,342280,1.63E+06,
45,153416,2.66E+06,
46,471232,2.13E+06,
47,343872,1.69E+06,
48,391632,1.93E+06,
49,206726,2.18E+06,
50,391362,1.97E+06,
51,466456,1.83E+06,
52,370936,1.91E+06,
53,224472,2.03E+06,
54,203776,2.12E+06,
55,353424,1.90E+06,
56,342280,1.96E+06,
57,374120,1.95E+06,
58,180480,2.15E+06,
59,57234,2.25E+06,
60,401184,1.91E+06,
61,353424,1.99E+06,
62,339096,1.99E+06,
63,219306,1.98E+06,
64,81036,2.30E+06,
65,170188,2.15E+06,
66,350396,2.04E+06,
67,312032,1.93E+06,
68,315216,2.01E+06,
69,211736,2.16E+06,
70,94824,2.25E+06,
71,171936,2.15E+06,
72,270640,1.84E+06,
73,307256,2.06E+06,
74,297704,2.12E+06,
75,253128,2.35E+06,
76,151240,2.52E+06,
77,206960,2.15E+06,
78,272232,2.02E+06,
79,265864,2.02E+06,
80,261088,2.04E+06,
81,269048,2.03E+06,
82,179200,2.08E+06,
83,149648,2.16E+06,
84,326360,1.91E+06,
85,272232,2.03E+06,
86,254720,1.85E+06,
87,234024,1.82E+06,
88,214920,2.05E+06,
89,0,2.33E+06,
90,138504,2.11E+06,
91,261088,2.03E+06,
92,257904,2.02E+06,
93,272232,2.10E+06,
94,292928,1.92E+06,
95,231736,2.09E+06,
96,253128,2.10E+06,
97,273824,2.12E+06,
98,272232,2.11E+06,
99,262680,2.06E+06,
100,170344,2.17E+06,
101,165568,2.20E+06,
102,54128,2.19E+06,
103,23880,2.33E+06,
104,265864,2.09E+06,
105,270640,2.08E+06,
106,353424,2.49E+06,
107,353424,1.83E+06,
108,187160,1.92E+06,
109,205368,2.17E+06,
110,265864,2.10E+06,
111,261088,2.08E+06,
112,243576,2.12E+06,
113,205368,2.10E+06,
114,141688,2.22E+06,
115,0,2.32E+06,
116,68534,2.23E+06,
117,237208,2.12E+06,
118,477522,1.88E+06,
119,468126,1.83E+06,
120,332032,1.99E+06,
121,0,2.18E+06,
122,0,2.40E+06,
123,116216,2.22E+06,
124,456904,1.88E+06,
125,436208,1.92E+06,
126,92336,2.30E+06,
127,125768,2.19E+06,
128,224472,2.13E+06,
129,62088,2.29E+06,
130,471232,1.86E+06,
131,477600,1.86E+06,
132,167160,2.20E+06,
133,89152,2.24E+06,
134,187160,2.31E+06,
135,60496,2.93E+06,
136,270640,2.11E+06,
137,248274,1.94E+06,
138,265942,2.09E+06,
139,270640,2.04E+06,
140,273824,2.05E+06,
141,159200,2.16E+06,
142,256312,1.88E+06,
143,241984,1.89E+06,
144,265864,2.09E+06,
145,264272,2.06E+06,
146,52536,2.28E+06,
147,235616,1.96E+06,
148,40696,2.27E+06,
149,141688,2.16E+06,
150,253128,1.96E+06,
,292868.9139,2025465.762,
,,,
,,,
,,,
,,,
,,,
,,,
