Interval start,prague-throughput,cubic-throughput,
0,1.29E+06,1.27E+06,
1,1.23E+06,1.28E+06,
2,0,2.49E+06,
3,0,2.58E+06,
4,0,2.65E+06,
5,0,2.64E+06,
6,0,2.52E+06,
7,14352,2.52E+06,
8,905076,1.70E+06,
9,1.29E+06,1.27E+06,
10,1.27E+06,1.26E+06,
11,1.27E+06,1.25E+06,
12,1.30E+06,1.27E+06,
13,1.27E+06,1.24E+06,
14,1.24E+06,1.23E+06,
15,1.24E+06,1.21E+06,
16,1.30E+06,1.27E+06,
17,1.30E+06,1.28E+06,
18,1.28E+06,1.26E+06,
19,1.27E+06,1.25E+06,
20,1.30E+06,1.28E+06,
21,1.31E+06,1.28E+06,
22,1.29E+06,1.26E+06,
23,908618,894872,
24,986164,965778,
25,1.05E+06,1.03E+06,
26,1.25E+06,1.23E+06,
27,1.24E+06,1.21E+06,
28,1.26E+06,1.24E+06,
29,1.27E+06,1.24E+06,
30,1.28E+06,1.26E+06,
31,1.26E+06,1.24E+06,
32,1.23E+06,1.21E+06,
33,1.33E+06,1.31E+06,
34,1.30E+06,1.27E+06,
35,1.24E+06,1.22E+06,
36,1.29E+06,1.26E+06,
37,1.29E+06,1.27E+06,
38,1.23E+06,1.20E+06,
39,536976,529168,
40,993884,974598,
41,1.19E+06,1.17E+06,
42,1.28E+06,1.25E+06,
43,1.14E+06,1.12E+06,
44,1.03E+06,1.02E+06,
45,1.21E+06,1.18E+06,
46,1.15E+06,1.13E+06,
47,1.09E+06,1.07E+06,
48,1.17E+06,1.15E+06,
49,1.28E+06,1.25E+06,
50,1.29E+06,1.27E+06,
51,1.14E+06,1.12E+06,
52,1.28E+06,1.26E+06,
53,1.22E+06,1.20E+06,
54,1.20E+06,1.17E+06,
55,1.14E+06,1.11E+06,
56,1.20E+06,1.18E+06,
57,1.28E+06,1.26E+06,
58,1.27E+06,1.24E+06,
59,1.29E+06,1.26E+06,
60,1.30E+06,1.27E+06,
61,1.25E+06,1.23E+06,
62,1.25E+06,1.23E+06,
63,1.29E+06,1.27E+06,
64,1.29E+06,1.26E+06,
65,1.14E+06,1.13E+06,
66,1.25E+06,1.23E+06,
67,1.13E+06,1.11E+06,
68,1.26E+06,1.23E+06,
69,1.29E+06,1.26E+06,
70,1.23E+06,1.21E+06,
71,1.14E+06,1.13E+06,
72,1.22E+06,1.19E+06,
73,1.30E+06,1.28E+06,
74,1.25E+06,1.23E+06,
75,1.16E+06,1.13E+06,
76,957144,943060,
77,1.19E+06,1.16E+06,
78,1.26E+06,1.24E+06,
79,1.25E+06,1.23E+06,
80,1.21E+06,1.20E+06,
81,1.26E+06,1.23E+06,
82,1.24E+06,1.22E+06,
83,1.23E+06,1.21E+06,
84,1.25E+06,1.22E+06,
85,1.21E+06,1.18E+06,
86,1.25E+06,1.23E+06,
87,1.25E+06,1.23E+06,
88,1.23E+06,1.20E+06,
89,1.25E+06,1.23E+06,
90,1.27E+06,1.25E+06,
91,1.23E+06,1.21E+06,
92,1.25E+06,1.22E+06,
93,1.18E+06,1.17E+06,
94,1.11E+06,1.08E+06,
95,1.28E+06,1.26E+06,
96,1.29E+06,1.27E+06,
97,1.20E+06,1.18E+06,
98,1.18E+06,1.15E+06,
99,1.06E+06,1.04E+06,
100,1.18E+06,1.15E+06,
101,1.25E+06,1.23E+06,
102,1.29E+06,1.25E+06,
103,1.26E+06,1.24E+06,
104,1.29E+06,1.26E+06,
105,1.29E+06,1.27E+06,
106,1.29E+06,1.26E+06,
107,1.28E+06,1.25E+06,
108,1.20E+06,1.18E+06,
109,1.19E+06,1.17E+06,
110,1.24E+06,1.21E+06,
111,1.13E+06,1.10E+06,
112,1.25E+06,1.23E+06,
113,1.24E+06,1.22E+06,
114,1.25E+06,1.23E+06,
115,1.27E+06,1.25E+06,
116,1.27E+06,1.25E+06,
117,1.26E+06,1.24E+06,
118,1.28E+06,1.25E+06,
119,1.27E+06,1.25E+06,
120,1.04E+06,1.02E+06,
121,872242,861142,
122,1.28E+06,1.25E+06,
123,1.28E+06,1.26E+06,
124,1.19E+06,1.17E+06,
125,1.20E+06,1.18E+06,
126,1.27E+06,1.25E+06,
127,1.28E+06,1.26E+06,
128,1.27E+06,1.25E+06,
129,1.27E+06,1.24E+06,
130,1.29E+06,1.27E+06,
131,1.24E+06,1.22E+06,
132,1.32E+06,1.30E+06,
133,1.26E+06,1.24E+06,
134,1.30E+06,1.28E+06,
135,1.28E+06,1.26E+06,
136,1.30E+06,1.27E+06,
137,1.01E+06,988388,
138,659780,649072,
139,1.21E+06,1.18E+06,
140,1.29E+06,1.26E+06,
141,1.27E+06,1.24E+06,
142,1.24E+06,1.22E+06,
143,1.25E+06,1.23E+06,
144,1.09E+06,1.07E+06,
145,874068,863448,
146,1.07E+06,1.05E+06,
147,1.26E+06,1.24E+06,
148,1.28E+06,1.26E+06,
149,1.27E+06,1.25E+06,
150,1.27E+06,1.24E+06,
,1165140.225,1251510.967,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
