Interval start,prague-latency,cubic-latency
0,0.000691468,0.000687441
1,0.000758973,0.000540384
2,0.000703635,0.000482027
3,0.000703907,0.000499984
4,0.000570995,0.000529625
5,0.000477967,0.000491748
6,0.000568632,0.000374125
7,0.000469867,0.000395734
8,0.000432964,0.000482379
9,0.000462015,0.000485311
10,0.000437873,0.000319122
11,0.000346836,0.000446839
12,0.000420014,0.00046975
13,0.000461094,0.00041505
14,0.000468294,0.000346144
15,0.000443564,0.000347645
16,0.000430849,0.000397537
17,0.000441437,0.000446434
18,0.000410229,0.00043546
19,0.000391474,0.000468769
20,0.00030905,0.0005236
21,0.000307201,0.000435425
22,0.000431083,0.000434723
23,0.000424525,0.000554052
24,0.000376948,0.000351336
25,0.000501421,0.000458785
26,0.000448127,0.000528331
27,0.00051397,0.000425161
28,0.000352216,0.000473243
29,0.000423468,0.000392791
30,0.000368965,0.000433048
31,0.000405139,0.000418678
32,0.000435653,0.000502577
33,0.000431001,0.000434175
34,0.000415448,0.000490643
35,0.000569462,0.000355907
36,0.000429634,0.000470415
37,0.000448622,0.00052243
38,0.000527504,0.000459996
39,0.000498213,0.000706944
40,0.000459766,0.000510706
41,0.000800018,0.00048132
42,0.00034743,0.00058493
43,0.000586041,0.000529375
44,0.000464998,0.000582257
45,0.000519708,0.000515934
46,0.000411294,0.000565532
47,0.000489905,0.000569776
48,0.000399414,0.000579795
49,0.0003311,0.000571177
50,0.000414506,0.000561222
51,0.000486232,0.0005065
52,0.000294382,0.000645488
53,0.000462852,0.000535154
54,0.000533441,0.000495277
55,0.000485731,0.000446845
56,0.000398256,0.000481108
57,0.000285111,0.000539757
58,0.000413588,0.000522887
59,0.000388177,0.000574395
60,0.000356565,0.000482488
61,0.000385317,0.000525423
62,0.000410238,0.000462119
63,0.000423428,0.000618325
64,0.000436532,0.000506265
65,0.000489096,0.000543713
66,0.000325642,0.000588582
67,0.000440988,0.000693489
68,0.000360011,0.000607312
69,0.000482685,0.000554906
70,0.000259481,0.000611148
71,0.000334518,0.000563338
72,0.000474404,0.000523099
73,0.000426378,0.000564941
74,0.000392978,0.000559159
75,0.000428821,0.000485505
76,0.000447333,0.000683316
77,0.000440839,0.000544122
78,0.000423289,0.000567737
79,0.000540798,0.000458164
80,0.000396072,0.000523885
81,0.000399784,0.000871466
82,0.000438974,0.000569622
83,0.000441517,0.00064244
84,0.000497466,0.00053511
85,0.000416185,0.000576246
86,0.000362501,0.000613938
87,0.000598187,0.000502587
88,0.000263962,0.000585923
89,0.000397214,0.000541324
90,0.00029045,0.000594694
91,0.000368193,0.000585486
92,0.000350507,0.000581562
93,0.000360092,0.000648748
94,0.000463535,0.000636824
95,0.000469244,0.00052118
96,0.000332886,0.000613425
97,0.00037744,0.00066538
98,0.000438396,0.000594993
99,0.000378437,0.000546134
100,0.000356878,0.00064294
101,0.000348554,0.000620083
102,0.00038924,0.000672816
103,0.00037117,0.000638714
104,0.000415155,0.000625923
105,0.000358825,0.000578845
106,0.000446123,0.000739773
107,0.000349824,0.000553591
108,0.000385289,0.000751561
109,0.000215215,0.000618641
110,0.000234505,0.000617307
111,0.000270406,0.000592545
112,0.000352456,0.000689293
113,0.000615251,0.000697889
114,0.000609657,0.000527931
115,0.000265957,0.000655541
116,0.000177618,0.000717329
117,0.000323653,0.000612313
118,0.000533315,0.000539402
119,0.000316766,0.000743293
120,0.000656434,0.000816875
121,0.000579746,0.000819528
122,0.000248354,0.000777503
123,0.000514281,0.000719449
124,0.000341932,0.000670691
125,0.000335469,0.00071907
126,0.00056513,0.000533143
127,0.000198088,0.000822443
128,0.000387157,0.000647645
129,0.000474566,0.000724084
130,0.000394718,0.000721464
131,0.000638256,0.000555387
132,0.000327476,0.000707511
133,0.000376949,0.000646203
134,0.000194696,0.000853818
135,0.000410918,0.000584857
136,0.000697096,0.000644795
137,0.000554317,0.000545114
138,0.000392012,0.000732164
139,0.000436691,0.000679118
140,0.000418093,0.000742734
141,0.000427621,0.000704342
142,0.000359549,0.00089749
143,0.000386285,0.000881708
144,0.000442494,0.000918859
145,0.00079585,0.00070267
146,0.00031724,0.000788878
147,0.000519502,0.000799543
148,0.000419021,0.000594218
149,0.000350378,0.000671201
150,0.000360914,0.000741075
AVG,0.000429531,0.000579647
