Interval start,prague-throughput,cubic-throughput,
0,8.96E+06,1.65E+06,
1,9.41E+06,1.82E+06,
2,9.07E+06,1.87E+06,
3,8.77E+06,2.15E+06,
4,8.27E+06,2.59E+06,
5,7.76E+06,2.71E+06,
6,7.08E+06,3.37E+06,
7,7.04E+06,4.15E+06,
8,5.91E+06,4.04E+06,
9,5.29E+06,4.29E+06,
10,5.15E+06,4.89E+06,
11,5.22E+06,5.62E+06,
12,5.01E+06,6.51E+06,
13,4.43E+06,6.26E+06,
14,3.77E+06,6.58E+06,
15,2.82E+06,5.71E+06,
16,2.05E+06,7.22E+06,
17,1.78E+06,8.56E+06,
18,1.99E+06,9.01E+06,
19,1.25E+06,8.40E+06,
20,939778,7.36E+06,
21,1.13E+06,7.96E+06,
22,1.39E+06,1.11E+07,
23,1.05E+06,7.66E+06,
24,1.86E+06,1.19E+07,
25,1.61E+06,1.07E+07,
26,2.04E+06,1.39E+07,
27,1.99E+06,1.33E+07,
28,1.87E+06,1.20E+07,
29,1.65E+06,1.03E+07,
30,1.73E+06,1.06E+07,
31,1.82E+06,1.01E+07,
32,1.76E+06,1.10E+07,
33,1.45E+06,9.06E+06,
34,1.22E+06,8.52E+06,
35,1.16E+06,1.10E+07,
36,1.04E+06,1.02E+07,
37,1.02E+06,1.03E+07,
38,1.26E+06,1.18E+07,
39,1.53E+06,1.05E+07,
40,1.42E+06,1.02E+07,
41,1.06E+06,8.01E+06,
42,1.14E+06,8.14E+06,
43,1.31E+06,8.11E+06,
44,1.31E+06,8.81E+06,
45,1.29E+06,7.84E+06,
46,1.68E+06,1.02E+07,
47,1.72E+06,1.00E+07,
48,1.95E+06,1.13E+07,
49,1.67E+06,9.87E+06,
50,1.80E+06,1.12E+07,
51,1.65E+06,1.03E+07,
52,1.55E+06,8.52E+06,
53,1.27E+06,8.42E+06,
54,1.30E+06,8.27E+06,
55,1.69E+06,1.06E+07,
56,1.42E+06,8.49E+06,
57,1.68E+06,9.45E+06,
58,1.68E+06,8.62E+06,
59,1.54E+06,8.14E+06,
60,1.50E+06,7.51E+06,
61,1.95E+06,1.00E+07,
62,1.93E+06,9.62E+06,
63,1.67E+06,9.02E+06,
64,1.47E+06,8.80E+06,
65,1.78E+06,1.03E+07,
66,1.29E+06,8.43E+06,
67,1.33E+06,9.24E+06,
68,1.33E+06,9.38E+06,
69,1.36E+06,1.08E+07,
70,1.34E+06,8.98E+06,
71,1.08E+06,8.29E+06,
72,893962,8.86E+06,
73,1.09E+06,9.39E+06,
74,1.11E+06,8.77E+06,
75,978552,8.70E+06,
76,903850,7.99E+06,
77,952822,7.95E+06,
78,944068,8.93E+06,
79,1.15E+06,9.60E+06,
80,762512,7.96E+06,
81,1.13E+06,8.75E+06,
82,892720,8.18E+06,
83,866496,8.08E+06,
84,939300,9.84E+06,
85,1.50E+06,6.71E+06,
86,737374,1.05E+07,
87,916988,7.09E+06,
88,612502,9.35E+06,
89,714002,1.00E+07,
90,919172,7.98E+06,
91,988226,1.00E+07,
92,782916,7.23E+06,
93,925042,1.01E+07,
94,888248,9.25E+06,
95,1.08E+06,1.11E+07,
96,1.03E+06,9.78E+06,
97,1.11E+06,9.78E+06,
98,1.04E+06,7.59E+06,
99,1.01E+06,7.88E+06,
100,1.12E+06,8.56E+06,
101,964804,7.00E+06,
102,683982,6.88E+06,
103,640942,7.94E+06,
104,674972,8.37E+06,
105,715512,7.24E+06,
106,650634,8.33E+06,
107,515280,8.47E+06,
108,511204,8.73E+06,
109,673726,1.09E+07,
110,714992,1.04E+07,
111,703672,1.03E+07,
112,631528,9.04E+06,
113,753770,1.01E+07,
114,987442,1.21E+07,
115,1.11E+06,1.28E+07,
116,1.10E+06,1.22E+07,
117,1.12E+06,1.16E+07,
118,1.08E+06,1.11E+07,
119,1.35E+06,1.30E+07,
120,1.21E+06,1.13E+07,
121,1.35E+06,1.34E+07,
122,1.27E+06,1.31E+07,
123,1.07E+06,1.15E+07,
124,1.03E+06,1.13E+07,
125,1.01E+06,1.21E+07,
126,877390,1.16E+07,
127,1.16E+06,1.28E+07,
128,1.10E+06,1.24E+07,
129,1.18E+06,1.25E+07,
130,990474,1.11E+07,
131,726007,8.51E+06,
132,805902,9.58E+06,
133,1.02E+06,1.18E+07,
134,1.09E+06,9.32E+06,
135,1.08E+06,1.01E+07,
136,1.04E+06,9.57E+06,
137,693210,6.64E+06,
138,1.10E+06,1.07E+07,
139,1.06E+06,1.02E+07,
140,859482,8.49E+06,
141,1.05E+06,1.02E+07,
142,1.06E+06,9.94E+06,
143,934328,8.01E+06,
144,1.05E+06,1.00E+07,
145,1.04E+06,9.35E+06,
146,1.11E+06,8.26E+06,
147,857304,8.88E+06,
148,1.09E+06,9.71E+06,
149,708280,6.90E+06,
150,867576,7.79E+06,
,1746844.192,9013646.225,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
