Interval start,prague-latency,cubic-latency
0,0.000386481,0.00043813
1,0.000390926,0.000393823
2,0.000398764,0.000406004
3,0.000406456,0.000417438
4,0.000407935,0.000380587
5,0.000391619,0.000392711
6,0.000386483,0.000397575
7,0.0003902,0.000404976
8,0.000423809,0.000347499
9,0.000376242,0.000406383
10,0.000399609,0.000377215
11,0.000390645,0.00036828
12,0.000380087,0.000375512
13,0.000402304,0.000352462
14,0.000384045,0.000403248
15,0.000383442,0.000380145
16,0.000382374,0.000383124
17,0.000403479,0.000386734
18,0.000366743,0.000403205
19,0.000375448,0.000386115
20,0.000376421,0.000398088
21,0.000353085,0.000393353
22,0.000373997,0.000417406
23,0.000406798,0.00038408
24,0.000389496,0.00037087
25,0.000377243,0.000463487
26,0.000401352,0.000379554
27,0.000398194,0.000373166
28,0.000411165,0.000421012
29,0.000386072,0.00037324
30,0.000352156,0.000418018
31,0.0003837,0.000411166
32,0.000391931,0.000446839
33,0.000381281,0.000424278
34,0.000395172,0.000430905
35,0.000380846,0.000380289
36,0.000372134,0.000374343
37,0.000375321,0.000394314
38,0.000377287,0.000381534
39,0.0004034,0.000367564
40,0.000387003,0.000413433
41,0.000372717,0.000411403
42,0.000417673,0.000355715
43,0.000371937,0.00040438
44,0.000364125,0.000406234
45,0.000379599,0.000408228
46,0.000366072,0.000404831
47,0.000435739,0.000436673
48,0.00036389,0.000401866
49,0.000360825,0.000423875
50,0.00036383,0.000398572
51,0.000460662,0.00044472
52,0.000367249,0.000398482
53,0.000357719,0.000405157
54,0.000368947,0.000395868
55,0.000372817,0.000389496
56,0.000365355,0.000431595
57,0.000378524,0.0004217
58,0.000397252,0.000390302
59,0.00039111,0.00039869
60,0.000390384,0.000409084
61,0.00040047,0.000386974
62,0.000403289,0.000401185
63,0.000402263,0.000434455
64,0.000403482,0.000367728
65,0.000374272,0.000397706
66,0.000383217,0.00038532
67,0.000419189,0.000377224
68,0.000380587,0.000387692
69,0.000380287,0.000400901
70,0.000405602,0.00041965
71,0.000403513,0.000400378
72,0.000381314,0.000387508
73,0.000396207,0.000382398
74,0.000408689,0.00038554
75,0.000398089,0.000371654
76,0.000380457,0.000378904
77,0.000354602,0.000421011
78,0.000430671,0.000412942
79,0.000405013,0.000432669
80,0.00037913,0.000394167
81,0.000377059,0.000400184
82,0.000358402,0.000429735
83,0.000383307,0.000388534
84,0.000381046,0.000398962
85,0.000380763,0.000389412
86,0.000386475,0.000394599
87,0.000422442,0.000449418
88,0.00040352,0.000383981
89,0.0004168,0.000420753
90,0.000381659,0.000405634
91,0.000395808,0.000375598
92,0.000365578,0.000405649
93,0.000396472,0.000421996
94,0.000378604,0.000477441
95,0.0003767,0.000399032
96,0.000404077,0.000400999
97,0.000387391,0.000391231
98,0.000384963,0.000400039
99,0.000401773,0.000392666
100,0.000407957,0.000418348
101,0.000401409,0.000397184
102,0.000405899,0.000407168
103,0.000408877,0.000383393
104,0.000407168,0.000389394
105,0.000406356,0.000444989
106,0.000382712,0.000413942
107,0.000419306,0.000478384
108,0.000410062,0.000392665
109,0.000361183,0.000408391
110,0.000372872,0.000383501
111,0.000365655,0.000404077
112,0.000375928,0.000392881
113,0.000375513,0.000403433
114,0.000381073,0.000396458
115,0.000373075,0.000390635
116,0.000364742,0.000436836
117,0.000390364,0.000373135
118,0.000402319,0.000434679
119,0.000370055,0.000413343
120,0.000402239,0.000387788
121,0.000396583,0.000391788
122,0.000403486,0.000385573
123,0.000384982,0.00045057
124,0.000375132,0.000418915
125,0.00035759,0.000449573
126,0.000410573,0.000410479
127,0.000384145,0.000395735
128,0.000381132,0.000438649
129,0.000386793,0.000429102
130,0.000388954,0.000420426
131,0.000374117,0.000393865
132,0.000371243,0.000385345
133,0.000400789,0.000380104
134,0.000396122,0.000381326
135,0.000374344,0.000390184
136,0.000375354,0.000437134
137,0.000354321,0.000411021
138,0.000402125,0.000430556
139,0.000378462,0.000378598
140,0.000368347,0.000403606
141,0.000401865,0.000421601
142,0.00038707,0.000385881
143,0.000398776,0.000426492
144,0.000416368,0.000392168
145,0.000370713,0.000399863
146,0.0004003,0.000386972
147,0.000379353,0.000391212
148,0.0003495,0.000400869
149,0.000408591,0.000429662
150,0.000404294,0.000389816
,0.000388003,0.000402176
