Interval start,prague-latency,cubic-latency
0,0.00037869,0.000378199
1,0.000346287,0.000385273
2,0.000355819,0.000341871
3,0.000351697,0.000388439
4,0.000358187,0.000359511
5,0.000355672,0.000378158
6,0.000348469,0.000359399
7,0.000347953,0.000378878
8,0.000346816,0.000361966
9,0.000356451,0.000366775
10,0.000375443,0.000382625
11,0.00034953,0.000363362
12,0.000342413,0.000355835
13,0.00035043,0.000350316
14,0.000344001,0.000368528
15,0.000356234,0.00035927
16,0.000356777,0.000375293
17,0.000343222,0.0003693
18,0.000362512,0.000377239
19,0.000347085,0.000364447
20,0.000341038,0.000370411
21,0.000346969,0.000356374
22,0.000370616,0.000351149
23,0.000373632,0.000371835
24,0.00035036,0.00035581
25,0.000338614,0.000383464
26,0.000338344,0.000380831
27,0.000342274,0.000367409
28,0.000340526,0.000362217
29,0.000360081,0.000388401
30,0.00036198,0.000369664
31,0.00035985,0.000427721
32,0.000363883,0.000372897
33,0.000362995,0.000412244
34,0.000344801,0.000366753
35,0.000373514,0.000362005
36,0.000349394,0.00037793
37,0.000349865,0.000373889
38,0.000373036,0.000397338
39,0.000367977,0.000379441
40,0.000336691,0.000381953
41,0.000353432,0.000374699
42,0.000358039,0.000386542
43,0.000341291,0.000372523
44,0.000339497,0.000403191
45,0.00036939,0.000389387
46,0.000339096,0.0003795
47,0.000396416,0.000373778
48,0.000340693,0.000366159
49,0.000338799,0.00037191
50,0.000335971,0.000398634
51,0.000439379,0.000440511
52,0.000342588,0.000367102
53,0.000346301,0.000358649
54,0.000350089,0.000401553
55,0.000341921,0.000352702
56,0.000359856,0.000375523
57,0.000364468,0.00038113
58,0.000331318,0.000390241
59,0.00035548,0.000373535
60,0.000351154,0.000375913
61,0.000373183,0.000401484
62,0.000349563,0.000423966
63,0.000389444,0.000373816
64,0.000345852,0.000370062
65,0.000345214,0.000368131
66,0.000361012,0.000369889
67,0.000342739,0.0003657
68,0.000349588,0.000372112
69,0.000351244,0.000384119
70,0.000360653,0.000378117
71,0.000355881,0.000360823
72,0.00039902,0.000378313
73,0.00034114,0.000362477
74,0.00036355,0.000379904
75,0.000340787,0.000368164
76,0.000332656,0.000362301
77,0.000353886,0.000377848
78,0.000341065,0.000422685
79,0.000344861,0.000366084
80,0.000340845,0.000356722
81,0.000310334,0.000387922
82,0.000336191,0.00038341
83,0.000349127,0.000378015
84,0.000375508,0.000349432
85,0.000352566,0.000375922
86,0.000357105,0.000377961
87,0.000335412,0.000373684
88,0.000353021,0.000356121
89,0.000344101,0.000360322
90,0.00036328,0.000362917
91,0.000353169,0.000355668
92,0.000343087,0.000385899
93,0.000350828,0.000384728
94,0.000308426,0.00040896
95,0.000368431,0.00036794
96,0.000342341,0.000375611
97,0.000362084,0.000367033
98,0.000376044,0.000389819
99,0.00035922,0.000404946
100,0.000345597,0.000390359
101,0.000347703,0.000374501
102,0.000344743,0.000378899
103,0.000332363,0.00038107
104,0.000364155,0.000368132
105,0.000338638,0.000377029
106,0.000344313,0.000381762
107,0.000373896,0.000379342
108,0.000741718,0.000795737
109,0.00079221,0.0010581
110,0.000704889,0.000500631
111,0.00038686,0.000425766
112,0.000353336,0.000362266
113,0.000341575,0.00035186
114,0.000338098,0.000368099
115,0.000340631,0.000366753
116,0.000334146,0.000368289
117,0.000369617,0.000347086
118,0.000335245,0.000367676
119,0.000323733,0.000378158
120,0.000338736,0.000360453
121,0.000384997,0.000429741
122,0.000361491,0.000370457
123,0.000342134,0.000385915
124,0.000448401,0.000426184
125,0.000349104,0.000351542
126,0.000337487,0.000376305
127,0.000327087,0.000375267
128,0.000345105,0.000374631
129,0.000344208,0.000364405
130,0.000343565,0.000366212
131,0.000356803,0.00035241
132,0.000336244,0.000381489
133,0.000346799,0.0003744
134,0.000338387,0.000380424
135,0.000351775,0.000358776
136,0.000344517,0.000364397
137,0.000342206,0.000357906
138,0.000364104,0.000425024
139,0.000338183,0.00035603
140,0.000342001,0.000415515
141,0.000343137,0.000370555
142,0.000351204,0.000369291
143,0.000349082,0.000380563
144,0.0003444,0.000385981
145,0.000341763,0.000376852
146,0.00035265,0.000365335
147,0.000353003,0.000352628
148,0.000338495,0.000361269
149,0.000341102,0.000350556
150,0.000358431,0.000358832
,0.000359919,0.000383692
