"Interval start","client1-prague-latency","client1-cubic-latency","client2-prague-latency"
0,0.000357773,0.00026496,0.000411698
1,0.00038165,0.000485112,0.000397144
2,0.000366449,0.000313167,0.000379052
3,0.000391395,0.00034925,0.000395924
4,0.000385821,0.000335261,0.000388105
5,0.00037012,0.000346879,0.000395332
6,0.000390193,0.000523153,0.000368199
7,0.000363891,0.000467303,0.00038668
8,0.000391832,0.000363803,0.000376723
9,0.000387761,0.000346748,0.000401571
10,0.000364591,0.000382174,0.000397778
11,0.000392291,0.000402697,0.000381765
12,0.000365378,0.000430889,0.000367825
13,0.000383943,0.000294158,0.000391646
14,0.000371308,0.000419622,0.000368031
15,0.000367402,0.00037579,0.000395162
16,0.00037611,0.000367963,0.000389959
17,0.000396429,0.000444922,0.000372499
18,0.000350305,0.000391026,0.000394416
19,0.000344407,0.000404163,0.000388323
20,0.000341366,0.000442396,0.000418472
21,0.000358453,0.000512039,0.000545396
22,0.000379644,0.000522917,0.000468764
23,0.000341647,0.000444333,0.000418674
24,0.000393515,0.000475867,0.000395498
25,0.000359739,0.000445405,0.000391109
26,0.000541879,0.000687366,0.000915912
27,0.000320928,0.000411713,0.000391532
28,0.000346408,0.000466588,0.000429523
29,0.000328478,0.000459883,0.000356337
30,0.000521027,0.000465929,0.000420291
31,0.000357303,0.000457597,0.000396947
32,0.000568123,0.000793184,0.000695427
33,0.000453546,0.000427906,0.000421541
34,0.000330006,0.000421301,0.000379537
35,0.000426117,0.000531712,0.000463259
36,0.000555107,0.000514001,0.00037534
37,0.000343986,0.000390751,0.000415692
38,0.000411414,0.000396001,0.000370424
39,0.000362589,0.000421857,0.000377033
40,0.000354501,0.000396677,0.000418768
41,0.000344308,0.00044437,0.000357019
42,0.000333799,0.000396853,0.000410286
43,0.000336481,0.000403256,0.000370561
44,0.000357094,0.000408694,0.000368203
45,0.000317744,0.000463689,0.000375216
46,0.000329109,0.00040822,0.000407763
47,0.000373424,0.000459249,0.000389816
48,0.000356523,0.000441868,0.000366635
49,0.000348953,0.000440186,0.000378903
50,0.000373636,0.000417778,0.00036826
51,0.000360469,0.000390899,0.000386492
52,0.00030358,0.000380187,0.000420536
53,0.000326289,0.00044662,0.000378892
54,0.000375424,0.000493534,0.000400438
55,0.000330248,0.000404768,0.00038878
56,0.000310964,0.000428515,0.000412619
57,0.00032168,0.00045949,0.000385377
58,0.000411757,0.000538018,0.000469814
59,0.000464866,0.000416064,0.000466619
60,0.000276938,0.000381241,0.000434458
61,0.000364352,0.000470301,0.000435631
62,0.000370549,0.000461214,0.000412102
63,0.00034832,0.000405815,0.000441772
64,0.000327994,0.000409332,0.000413373
65,0.000310521,0.000435502,0.000380989
66,0.000292037,0.00045558,0.000407562
67,0.000343957,0.000384062,0.000393345
68,0.000310485,0.000377322,0.000431275
69,0.000383966,0.000400127,0.000383839
70,0.000338807,0.000411824,0.000397019
71,0.000345898,0.000391826,0.00038628
72,0.000356521,0.000440229,0.000393555
73,0.000351398,0.000409694,0.000383464
74,0.000330319,0.000432228,0.000438335
75,0.000389942,0.000419327,0.000349112
76,0.000383454,0.000356676,0.000384351
77,0.000345414,0.00039882,0.000394973
78,0.000323462,0.00037578,0.000401509
79,0.00032638,0.000409248,0.000399822
80,0.000338405,0.000407494,0.000376689
81,0.000327009,0.000387226,0.000406989
82,0.000325608,0.000508652,0.00043605
83,0.000342937,0.000409173,0.000376879
84,0.000360637,0.000417369,0.000404782
85,0.000331982,0.000436791,0.000378809
86,0.000381362,0.000396718,0.000435172
87,0.000275755,0.000410094,0.000452937
88,0.000343616,0.000400244,0.000408075
89,0.000356444,0.000414087,0.000405162
90,0.000317593,0.000372635,0.000468206
