"Interval start","client1-prague-throughput","client1-cubic-throughput","client2-prague-throughput"
0,1.20583e+06,28422,1.2275e+06
1,1.13766e+06,42750,1.18141e+06
2,1.19113e+06,58280,1.24951e+06
3,1.13016e+06,78040,1.2068e+06
4,1.15952e+06,62900,1.21736e+06
5,1.10396e+06,114000,1.22094e+06
6,1.11155e+06,125332,1.23281e+06
7,1.02991e+06,184470,1.21616e+06
8,1.08077e+06,163228,1.23746e+06
9,965462,239598,1.20249e+06
10,937858,291666,1.23227e+06
11,924772,273654,1.19019e+06
12,876558,367256,1.24652e+06
13,769634,470360,1.22913e+06
14,816264,413846,1.23368e+06
15,619260,572234,1.18475e+06
16,737068,463198,1.19423e+06
17,668222,516734,1.17974e+06
18,553508,663496,1.20672e+06
19,584906,628206,1.2098e+06
20,394958,747946,1.14428e+06
21,472590,473250,936838
22,453862,563558,1.01453e+06
23,467572,669006,1.13506e+06
24,518836,576138,1.08563e+06
25,639002,523264,1.15159e+06
26,190416,407056,596490
27,273512,919170,1.19093e+06
28,834240,284862,1.11374e+06
29,337114,871442,1.20245e+06
30,626552,352498,970464
31,288074,832156,1.11801e+06
32,319992,354910,666758
33,436208,698226,1.12803e+06
34,573042,608368,1.17945e+06
35,572340,422110,984052
36,196166,892092,1.08545e+06
37,797124,373078,1.16219e+06
38,427546,780166,1.20187e+06
39,517166,646458,1.15373e+06
40,332650,867914,1.19449e+06
41,649458,557548,1.1952e+06
42,591138,606184,1.19286e+06
43,510876,717858,1.21904e+06
44,430028,785416,1.21438e+06
45,445370,741848,1.18234e+06
46,805974,379368,1.17244e+06
47,299022,846796,1.14133e+06
48,518992,667810,1.18184e+06
49,423316,770770,1.18816e+06
50,881734,307774,1.17193e+06
51,332104,886862,1.21895e+06
52,474526,732412,1.20335e+06
53,272894,899130,1.1662e+06
54,905458,209272,1.10213e+06
55,455656,754772,1.20987e+06
56,469484,723484,1.18078e+06
57,254642,890092,1.14643e+06
58,499888,482022,970926
59,796896,211832,990658
60,335522,868882,1.20035e+06
61,350896,711528,1.05803e+06
62,168284,957520,1.12816e+06
63,1.10947e+06,98736,1.17043e+06
64,462498,753414,1.2086e+06
65,378896,837938,1.2097e+06
66,650894,571284,1.20741e+06
67,553080,684848,1.23e+06
68,915322,286500,1.18707e+06
69,335944,885926,1.21289e+06
70,347562,865470,1.20508e+06
71,633226,572142,1.1985e+06
72,603290,564884,1.15705e+06
73,634896,576606,1.20151e+06
74,623862,526246,1.13896e+06
75,129068,1.10965e+06,1.23926e+06
76,860648,316670,1.15784e+06
77,590476,626536,1.21043e+06
78,426422,802272,1.21382e+06
79,620880,584410,1.19837e+06
80,405530,839148,1.23393e+06
81,1.04412e+06,174794,1.20317e+06
82,285936,801128,1.07889e+06
83,360916,874288,1.2262e+06
84,623050,561030,1.17421e+06
85,589702,633950,1.21106e+06
86,563412,588250,1.1377e+06
87,588494,604872,1.18026e+06
88,297736,883496,1.17822e+06
89,596454,581460,1.16462e+06
90,850138,357828,1.19383e+06
91,157452,1.07145e+06,1.22364e+06
92,886432,322180,1.189e+06
93,386966,807386,1.19044e+06
94,900760,294960,1.17374e+06
95,324144,851994,1.17207e+06
96,247266,735674,980354
97,598280,612208,1.19347e+06
98,676132,560374,1.22434e+06
99,520506,709820,1.22582e+06
100,630042,575014,1.19332e+06
101,477592,734192,1.20289e+06
102,306788,921386,1.2191e+06
103,1.14457e+06,73810,1.19497e+06
104,0,1.28813e+06,1.28755e+06
105,1.04722e+06,155384,1.17879e+06
106,297814,928176,1.22442e+06
107,845780,406198,1.23265e+06
108,369188,877608,1.23817e+06
109,426422,775942,1.19422e+06
110,648444,586346,1.21791e+06
111,656326,527988,1.17385e+06
112,381306,842598,1.21436e+06
113,599248,607354,1.19926e+06
114,532494,699182,1.22439e+06
115,448710,781148,1.22108e+06
116,1.00358e+06,235088,1.21348e+06
117,36538,1.19076e+06,1.22804e+06
118,1.00727e+06,164742,1.15301e+06
119,337068,877076,1.21117e+06
120,785902,383020,1.15418e+06
121,439002,789282,1.21749e+06
122,366354,861786,1.21914e+06
123,628528,566852,1.18313e+06
124,682500,560530,1.22977e+06
125,499576,719262,1.20935e+06
126,623986,617796,1.22756e+06
127,399006,825560,1.21766e+06
128,488432,759594,1.23944e+06
129,962380,236804,1.18154e+06
130,30092,1.14032e+06,1.16691e+06
131,1.01705e+06,190440,1.18363e+06
132,340720,898864,1.23319e+06
133,778994,386126,1.15325e+06
134,366004,758892,1.11597e+06
135,420866,791064,1.20169e+06
136,632024,576776,1.20111e+06
137,661648,550024,1.20297e+06
138,367134,819576,1.18144e+06
139,631322,597458,1.21728e+06
140,560962,664282,1.21553e+06
141,434538,815112,1.23645e+06
142,880876,141674,1.00946e+06
143,136950,1.06003e+06,1.19293e+06
144,783030,368152,1.13625e+06
145,527218,688702,1.20677e+06
146,470062,737306,1.19601e+06
147,716010,483458,1.18185e+06
148,406232,796008,1.19587e+06
149,674930,511418,1.17154e+06
150,644604,552914,1.18662e+06
151,289666,915830,1.1993e+06
152,649302,572752,1.20417e+06
153,646234,632208,1.26732e+06
154,615870,606964,1.20965e+06
155,595674,627160,1.2115e+06
156,237708,975858,1.20792e+06
157,12736,181786,197004
