Interval start,prague-throughput,cubic-throughput,
0,2.23E+06,0,
1,2.20E+06,0,
2,2.24E+06,9552,
3,2.22E+06,21976,
4,2.30E+06,0,
5,2.17E+06,28188,
6,2.29E+06,18948,
7,2.18E+06,12424,
8,2.26E+06,18792,
9,2.19E+06,46980,
10,2.26E+06,19104,
11,2.19E+06,41080,
12,2.24E+06,35024,
13,2.15E+06,68144,
14,2.22E+06,37740,
15,2.18E+06,79944,
16,2.24E+06,48650,
17,2.13E+06,110848,
18,2.21E+06,54784,
19,2.12E+06,150414,
20,2.16E+06,56688,
21,2.10E+06,153020,
22,2.10E+06,128016,
23,2.08E+06,132324,
24,2.03E+06,214672,
25,1.98E+06,99314,
26,2.06E+06,205900,
27,2.06E+06,248838,
28,2.04E+06,179882,
29,1.88E+06,380772,
30,2.09E+06,154612,
31,1.96E+06,221008,
32,1.82E+06,378680,
33,1.94E+06,262308,
34,1.92E+06,260092,
35,1.87E+06,307150,
36,1.71E+06,511834,
37,1.97E+06,204652,
38,1.77E+06,345936,
39,1.90E+06,325442,
40,1.57E+06,676856,
41,2.02E+06,233964,
42,1.82E+06,398972,
43,2.01E+06,206750,
44,1.57E+06,704232,
45,1.48E+06,423820,
46,1.91E+06,166678,
47,1.87E+06,351960,
48,1.79E+06,449526,
49,1.62E+06,624280,
50,2.14E+06,82816,
51,1.68E+06,565806,
52,1.75E+06,460826,
53,1.77E+06,314532,
54,1.98E+06,262386,
55,1.82E+06,444048,
56,1.87E+06,326566,
57,1.63E+06,569854,
58,1.65E+06,585378,
59,1.90E+06,332622,
60,1.93E+06,319106,
61,1.89E+06,250682,
62,1.78E+06,473250,
63,1.91E+06,353630,
64,1.76E+06,462768,
65,1.74E+06,453256,
66,1.70E+06,493790,
67,1.86E+06,370206,
68,2.10E+06,12346,
69,1.76E+06,453958,
70,1.45E+06,557658,
71,1.76E+06,467700,
72,1.88E+06,340660,
73,1.78E+06,438616,
74,1.92E+06,344546,
75,1.99E+06,236446,
76,1.75E+06,403904,
77,1.71E+06,476590,
78,1.76E+06,469208,
79,1.69E+06,531568,
80,1.81E+06,431202,
81,1.86E+06,319964,
82,1.94E+06,217310,
83,1.73E+06,505948,
84,1.69E+06,529002,
85,1.82E+06,350634,
86,1.93E+06,287006,
87,1.67E+06,423664,
88,1.69E+06,601610,
89,2.06E+06,152194,
90,1.82E+06,419824,
91,1.76E+06,472626,
92,1.75E+06,443892,
93,1.91E+06,296668,
94,1.79E+06,424054,
95,1.85E+06,331342,
96,1.78E+06,415594,
97,1.56E+06,550744,
98,1.87E+06,339880,
99,1.86E+06,302420,
100,1.93E+06,277220,
101,1.59E+06,634340,
102,1.83E+06,331030,
103,1.71E+06,421182,
104,1.83E+06,154410,
105,1.38E+06,361466,
106,1.39E+06,685550,
107,1.68E+06,261612,
108,1.81E+06,37116,
109,1.45E+06,384800,
110,1.38E+06,371018,
111,1.34E+06,568224,
112,1.95E+06,62510,
113,1.65E+06,557456,
114,1.62E+06,378836,
115,1.84E+06,366054,
116,1.97E+06,250046,
117,1.68E+06,436946,
118,1.82E+06,368926,
119,1.88E+06,391480,
120,1.52E+06,684894,
121,1.83E+06,331264,
122,1.84E+06,285564,
123,2.00E+06,229272,
124,1.60E+06,614846,
125,1.63E+06,293446,
126,1.86E+06,381116,
127,1.89E+06,363214,
128,1.65E+06,427706,
129,1.39E+06,579400,
130,1.97E+06,189784,
131,2.00E+06,214938,
132,1.71E+06,445562,
133,1.56E+06,559906,
134,1.99E+06,216686,
135,1.70E+06,526442,
136,1.68E+06,339146,
137,1.85E+06,334838,
138,1.86E+06,297292,
139,1.70E+06,386704,
140,1.84E+06,404528,
141,1.77E+06,395210,
142,1.53E+06,665790,
143,1.79E+06,340926,
144,1.86E+06,313316,
145,1.93E+06,255790,
146,1.72E+06,535370,
147,1.92E+06,355144,
148,1.82E+06,411630,
149,1.88E+06,347106,
150,1.78E+06,451664,
,1857835.629,324236.9934,
,,,
,,,
,,,
,,,
