Interval start,prague-throughput,cubic-throughput,
0,2.17E+06,0,
1,2.20E+06,0,
2,1.71E+06,72140,
3,2.20E+06,9396,
4,2.18E+06,26752,
5,2.15E+06,48338,
6,2.25E+06,9396,
7,2.21E+06,22288,
8,2.11E+06,105338,
9,2.19E+06,45856,
10,2.18E+06,17512,
11,2.10E+06,65928,
12,1.96E+06,53426,
13,2.04E+06,29624,
14,2.17E+06,23880,
15,2.14E+06,107632,
16,2.13E+06,63524,
17,2.14E+06,47604,
18,1.98E+06,33276,
19,2.08E+06,162884,
20,2.12E+06,40924,
21,2.12E+06,47136,
22,2.04E+06,50788,
23,1.98E+06,224504,
24,2.04E+06,85344,
25,2.08E+06,66552,
26,2.09E+06,118542,
27,1.88E+06,261900,
28,2.06E+06,76338,
29,2.14E+06,65850,
30,1.97E+06,175808,
31,1.94E+06,257312,
32,2.05E+06,67442,
33,2.14E+06,105806,
34,2.02E+06,168316,
35,1.86E+06,341188,
36,2.22E+06,116560,
37,2.80E+06,318308,
38,1.99E+06,185984,
39,1.78E+06,423146,
40,2.04E+06,121648,
41,2.01E+06,226096,
42,1.93E+06,311362,
43,1.71E+06,142110,
44,1.67E+06,545404,
45,1.94E+06,165600,
46,1.83E+06,346106,
47,2.05E+06,200000,
48,1.77E+06,178290,
49,1.79E+06,464570,
50,1.87E+06,538302,
51,1.96E+06,400376,
52,2.01E+06,242762,
53,1.99E+06,252412,
54,1.92E+06,360778,
55,1.32E+06,639272,
56,1.79E+06,386282,
57,2.07E+06,171812,
58,2.15E+06,109958,
59,1.90E+06,292914,
60,1.46E+06,779772,
61,1.51E+06,346716,
62,1.93E+06,296910,
63,1.90E+06,313440,
64,1.85E+06,359108,
65,1.59E+06,660092,
66,1.35E+06,476636,
67,1.76E+06,514344,
68,1.65E+06,617828,
69,1.53E+06,736884,
70,1.76E+06,510646,
71,1.73E+06,513642,
72,1.39E+06,600876,
73,1.55E+06,523190,
74,1.73E+06,461964,
75,1.73E+06,472984,
76,1.51E+06,736994,
77,1.35E+06,617342,
78,1.61E+06,498300,
79,1.66E+06,585034,
80,1.47E+06,768770,
81,1.77E+06,490652,
82,1.76E+06,473796,
83,1.46E+06,706714,
84,1.42E+06,664276,
85,1.59E+06,601844,
86,1.50E+06,672664,
87,1.32E+06,918312,
88,1.27E+06,723102,
89,1.27E+06,543610,
90,1.71E+06,499268,
91,1.70E+06,567600,
92,1.63E+06,606652,
93,2.15E+06,648402,
94,1.65E+06,1.10E+06,
95,1.47E+06,1.28E+06,
96,1.97E+06,905824,
97,2.17E+06,741198,
98,1.87E+06,704590,
99,1.19E+06,1.01E+06,
100,1.27E+06,973018,
101,1.40E+06,802890,
102,1.29E+06,958938,
103,1.01E+06,1.24E+06,
104,1.07E+06,1.26E+06,
105,1.47E+06,813012,
106,1.76E+06,496708,
107,1.44E+06,692432,
108,1.49E+06,780594,
109,1.74E+06,639116,
110,1.61E+06,757254,
111,1.57E+06,903262,
112,1.55E+06,900690,
113,1.47E+06,1.06E+06,
114,1.42E+06,1.15E+06,
115,1.49E+06,848934,
116,1.42E+06,820668,
117,1.47E+06,800322,
118,1.57E+06,702750,
119,1.69E+06,562512,
120,1.54E+06,655302,
121,1.21E+06,1.10E+06,
122,1.33E+06,1.00E+06,
123,1.71E+06,557814,
124,1.58E+06,527222,
125,1.40E+06,686954,
126,1.36E+06,783840,
127,1.56E+06,674888,
128,1.54E+06,650340,
129,1.60E+06,635048,
130,1.67E+06,629808,
131,1.54E+06,786496,
132,1.40E+06,759304,
133,1.52E+06,657396,
134,1.53E+06,761238,
135,1.46E+06,952428,
136,1.44E+06,807198,
137,1.52E+06,755654,
138,1.42E+06,755310,
139,1.34E+06,735784,
140,1.56E+06,711848,
141,1.58E+06,702588,
142,1.65E+06,661324,
143,1.68E+06,662996,
144,1.58E+06,649136,
145,1.44E+06,809610,
146,1.49E+06,683026,
147,1.44E+06,766664,
148,1.40E+06,793984,
149,1.37E+06,833868,
150,1.48E+06,781530,
,1733262.649,500568.8079,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
