Interval start,prague-latency,cubic-latency
0,0.000358554,0.000391219
1,0.000314994,0.000422609
2,0.00034204,0.000428525
3,0.000383285,0.000402013
4,0.000361917,0.000402077
5,0.000347477,0.000399842
6,0.00035926,0.000413545
7,0.000356021,0.000408512
8,0.000383975,0.000413448
9,0.000365473,0.000407855
10,0.000356174,0.00039796
11,0.000348904,0.00041996
12,0.000333992,0.000458765
13,0.000297294,0.000385308
14,0.000335381,0.000405583
15,0.000351421,0.000424245
16,0.000351505,0.000388789
17,0.000243964,0.000425554
18,0.000279223,0.000458663
19,0.000343445,0.000429531
20,0.000331477,0.000434297
21,0.00050919,0.000395923
22,0.000404033,0.000437623
23,0.000415157,0.000411537
24,0.00036259,0.000407407
25,0.00032066,0.000429882
26,0.000338513,0.000431999
27,0.000309987,0.000456317
28,0.000329732,0.000413734
29,0.000308156,0.000437245
30,0.000332814,0.000408702
31,0.000362564,0.000415897
32,0.000367407,0.000417743
33,0.000320277,0.000418478
34,0.000270192,0.000466464
35,0.000371,0.000427536
36,0.000291213,0.000426237
37,0.000330155,0.00040992
38,0.000421161,0.000395781
39,0.000471928,0.000387856
40,0.000323918,0.000422494
41,0.000310693,0.000415472
42,0.000341667,0.000415572
43,0.000312818,0.000443511
44,0.000385215,0.00049958
45,0.000380939,0.000325159
46,0.000281489,0.000372373
47,0.000385428,0.000481883
48,0.000310721,0.000423265
49,0.000319612,0.00040813
50,0.000293018,0.000413281
51,0.000319021,0.000422726
52,0.000302215,0.000421756
53,0.000351138,0.000415176
54,0.000311802,0.000420683
55,0.000372838,0.000421204
56,0.000290438,0.000431316
57,0.000382247,0.000409793
58,0.000283829,0.000426207
59,0.000289426,0.000423921
60,0.000345723,0.000409014
61,0.000362704,0.000409711
62,0.000346217,0.000404963
63,0.000334023,0.000436039
64,0.000368982,0.000396293
65,0.000239853,0.000400545
66,0.000389126,0.00043857
67,0.000332411,0.000434781
68,0.000337357,0.000418999
69,0.000301065,0.000410467
70,0.000264378,0.00041218
71,0.000343615,0.000412993
72,0.000341156,0.00046467
73,0.000360571,0.00041051
74,0.000318055,0.000396721
75,0.000301808,0.00037207
76,0.000243053,0.000356439
77,0.000314913,0.000411988
78,0.000334092,0.000420406
79,0.000333307,0.000423789
80,0.00027509,0.00041932
81,0.000329228,0.00041972
82,0.000393006,0.000424321
83,0.000297576,0.000412171
84,0.000324299,0.000439136
85,0.000328532,0.000439928
86,0.000353172,0.000474069
87,0.000384982,0.000471953
88,0.000389615,0.000418118
89,0,0.000409942
90,0.000383409,0.000424508
91,0.000387351,0.000415588
92,0.000364905,0.000416515
93,0.000393123,0.00040214
94,0.000321296,0.000438573
95,0.00031487,0.000411758
96,0.000272044,0.000400133
97,0.000347251,0.000439448
98,0.000340463,0.000399877
99,0.000352771,0.000408914
100,0.000280088,0.000415464
101,0.000286355,0.000409478
102,0.000183736,0.000440922
103,0.000393382,0.000405581
104,0.000290312,0.000409423
105,0.00030594,0.00041299
106,0.000308624,0.000327027
107,0.000328673,0.000447024
108,0.000427104,0.00044649
109,0.000314795,0.00040787
110,0.000431279,0.000385109
111,0.000322261,0.000423868
112,0.000354346,0.000404102
113,0.000297995,0.000422923
114,0.000352839,0.000410233
115,0,0.000410515
116,0.000342559,0.000416571
117,0.000327497,0.000408858
118,0.000346337,0.000402552
119,0.000292097,0.00043733
120,0.000325819,0.000423955
121,0,0.000448752
122,0,0.000408706
123,0.000336954,0.000416588
124,0.000314611,0.000429161
125,0.000332361,0.000414324
126,0.000268583,0.000401927
127,0.000226075,0.000437053
128,0.000268793,0.000412851
129,0.000384621,0.000401356
130,0.000311425,0.000411563
131,0.000346829,0.000406279
132,0.000351099,0.000403792
133,0.000485343,0.000410169
134,0.000423712,0.000384598
135,0.00029787,0.000322957
136,0.000283259,0.000405123
137,0.000369186,0.000434104
138,0.000335774,0.000407055
139,0.000290979,0.000423974
140,0.00035947,0.000405105
141,0.000282447,0.000416028
142,0.000350394,0.000462042
143,0.00036205,0.000457514
144,0.000344067,0.00040774
145,0.000297061,0.000424094
146,0.000327784,0.000417951
147,0.000341057,0.000427991
148,0.000321979,0.00044052
149,0.000319113,0.00041829
150,0.000399298,0.000428141
,0.000327421,0.000417281
