Interval start,prague-throughput,cubic-throughput
0,1.84E+06,467254
1,1.90E+06,516936
2,1.69E+06,305148
3,1.89E+06,463198
4,1.83E+06,480742
5,1.81E+06,456206
6,1.83E+06,501016
7,1.81E+06,539146
8,1.84E+06,529438
9,1.77E+06,459624
10,1.76E+06,470354
11,1.83E+06,512886
12,1.83E+06,554910
13,1.82E+06,528190
14,1.82E+06,510724
15,1.84E+06,577128
16,1.79E+06,536040
17,1.75E+06,535916
18,1.72E+06,570620
19,1.72E+06,546872
20,1.77E+06,574202
21,1.71E+06,620012
22,1.64E+06,550874
23,1.77E+06,580570
24,1.73E+06,615438
25,1.66E+06,667896
26,1.66E+06,600050
27,1.71E+06,642690
28,1.67E+06,674140
29,1.67E+06,637570
30,1.63E+06,634744
31,1.67E+06,691644
32,1.58E+06,764228
33,1.62E+06,682132
34,1.57E+06,617530
35,1.81E+06,948028
36,1.51E+06,675590
37,1.52E+06,726066
38,1.54E+06,733544
39,1.33E+06,962058
40,1.55E+06,750744
41,1.58E+06,761582
42,1.58E+06,963402
43,1.57E+06,775046
44,1.61E+06,695850
45,1.56E+06,807978
46,1.51E+06,766742
47,1.41E+06,934934
48,1.66E+06,652398
49,1.43E+06,827276
50,1.33E+06,979074
51,1.45E+06,899130
52,1.34E+06,991830
53,1.58E+06,751758
54,1.56E+06,743706
55,1.47E+06,905030
56,1.25E+06,976124
57,1.21E+06,1.22E+06
58,1.27E+06,1.02E+06
59,1.37E+06,708306
60,1.41E+06,914582
61,1.45E+06,893386
62,1.18E+06,1.13E+06
63,1.22E+06,1.04E+06
64,1.42E+06,887830
65,1.46E+06,868076
66,1.26E+06,1.10E+06
67,1.12E+06,1.11E+06
68,1.30E+06,1.02E+06
69,1.15E+06,1.11E+06
70,1.37E+06,824086
71,1.38E+06,959938
72,1.23E+06,1.11E+06
73,1.20E+06,1.18E+06
74,1.40E+06,972218
75,1.33E+06,1.27E+06
76,1.57E+06,1.22E+06
77,1.47E+06,1.34E+06
78,1.60E+06,1.09E+06
79,1.33E+06,1.30E+06
80,1.17E+06,1.30E+06
81,1.07E+06,1.37E+06
82,1.21E+06,1.21E+06
83,1.49E+06,981608
84,1.75E+06,835074
85,1.11E+06,1.68E+06
86,1.06E+06,1.61E+06
87,1.20E+06,1.29E+06
88,1.28E+06,1.00E+06
89,1.25E+06,1.15E+06
90,1.22E+06,1.19E+06
91,1.39E+06,941770
92,1.48E+06,893496
93,1.31E+06,1.02E+06
94,1.12E+06,1.25E+06
95,1.12E+06,1.24E+06
96,1.40E+06,976202
97,1.41E+06,915284
98,1.42E+06,871286
99,1.37E+06,839882
100,1.48E+06,782428
101,1.25E+06,934232
102,1.20E+06,1.12E+06
103,1.21E+06,1.13E+06
104,1.24E+06,1.16E+06
105,1.18E+06,1.22E+06
106,1.07E+06,1.35E+06
107,1.25E+06,1.14E+06
108,1.31E+06,1.09E+06
109,885106,1.37E+06
110,1.25E+06,1.12E+06
111,1.41E+06,945468
112,1.54E+06,640084
113,1.38E+06,1.01E+06
114,1.50E+06,944986
115,1.45E+06,860694
116,1.44E+06,868148
117,1.41E+06,1.01E+06
118,1.10E+06,1.26E+06
119,776388,1.25E+06
120,960526,1.41E+06
121,968070,1.44E+06
122,1.43E+06,1.26E+06
123,1.95E+06,959594
124,2.02E+06,883858
125,1.43E+06,1.33E+06
126,1.42E+06,1.39E+06
127,1.10E+06,1.30E+06
128,1.15E+06,1.26E+06
129,1.40E+06,971978
130,1.22E+06,1.22E+06
131,363774,360700
132,736586,735714
133,1.18E+06,1.20E+06
134,1.37E+06,1.29E+06
135,1.40E+06,1.01E+06
136,1.27E+06,1.11E+06
137,1.26E+06,1.16E+06
138,1.06E+06,1.27E+06
139,1.01E+06,1.35E+06
140,1.23E+06,1.08E+06
141,1.55E+06,770860
142,1.60E+06,686730
143,1.38E+06,1.02E+06
144,1.19E+06,1.17E+06
145,1.20E+06,1.17E+06
146,1.32E+06,997118
147,1.28E+06,709040
148,1.24E+06,1.12E+06
149,1.25E+06,1.03E+06
150,1.22E+06,1.08E+06
,1425822.649,925032.3444
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
