Interval start,prague-latency,cubic-latency
0,0.000345194,0.000437164
1,0.000351779,0.000451759
2,0,0.000432792
3,0,0.00041193
4,0,0.000402897
5,0,0.000400096
6,0,0.000413919
7,0.000221674,0.000408156
8,0.000357251,0.000419087
9,0.000356237,0.000448538
10,0.0003709,0.000451256
11,0.00037509,0.000440936
12,0.000368592,0.000403546
13,0.000352959,0.000449488
14,0.000371323,0.000463831
15,0.000369073,0.000445331
16,0.000358346,0.000464274
17,0.000373773,0.000389563
18,0.000333603,0.000458124
19,0.000373123,0.000414519
20,0.00033258,0.000436053
21,0.000352365,0.000421278
22,0.000317,0.000484662
23,0.000519466,0.000640018
24,0.00046692,0.000565363
25,0.000420151,0.000565788
26,0.000351701,0.000457151
27,0.000354501,0.000460806
28,0.000372304,0.000435315
29,0.000342485,0.000455501
30,0.000354894,0.000464537
31,0.000354943,0.000467953
32,0.000347492,0.000465114
33,0.000348965,0.000536872
34,0.000361549,0.000427938
35,0.00036887,0.00046897
36,0.000352966,0.000436241
37,0.000371988,0.000404368
38,0.000358984,0.000466128
39,0.000844853,0.00104088
40,0.000474487,0.000557288
41,0.000374755,0.000455664
42,0.000357123,0.000423761
43,0.00040112,0.000505278
44,0.00044518,0.000533176
45,0.000388893,0.000442586
46,0.000367382,0.000515275
47,0.000412708,0.000535003
48,0.00037808,0.000501294
49,0.000339019,0.0004476
50,0.000367815,0.000424855
51,0.000374751,0.000521572
52,0.000345193,0.000436315
53,0.000375704,0.000463997
54,0.000369471,0.000477043
55,0.000415642,0.000477703
56,0.000389983,0.000456208
57,0.000361153,0.000430801
58,0.000367836,0.000440092
59,0.000429307,0.000412175
60,0.000343907,0.000448877
61,0.000347146,0.000464731
62,0.000374428,0.000431184
63,0.000326477,0.000455004
64,0.000379421,0.000450907
65,0.000382477,0.000512285
66,0.000376929,0.000433861
67,0.00040451,0.000498976
68,0.000374414,0.000443921
69,0.000354854,0.000426873
70,0.000394933,0.000429841
71,0.000383168,0.000510771
72,0.000356847,0.000477447
73,0.000379384,0.000437731
74,0.000362361,0.000440607
75,0.000396782,0.000471382
76,0.000485672,0.000634002
77,0.000415207,0.000419932
78,0.000346058,0.000461561
79,0.000346025,0.000469492
80,0.000381252,0.000455589
81,0.000352142,0.000456288
82,0.000331768,0.000505549
83,0.000371699,0.000446122
84,0.000357955,0.000475565
85,0.000367439,0.000459659
86,0.000379939,0.000422206
87,0.000365267,0.000440066
88,0.000367081,0.000475436
89,0.000341737,0.000481982
90,0.000368852,0.000438592
91,0.00036559,0.000459482
92,0.000350799,0.000481198
93,0.000382495,0.000480954
94,0.000402152,0.000521645
95,0.000415418,0.000471294
96,0.000343662,0.000435089
97,0.000369085,0.00046188
98,0.000381329,0.000492801
99,0.000410297,0.000547045
100,0.000376956,0.000485698
101,0.000361482,0.000449785
102,0.000362355,0.000460411
103,0.000372041,0.000440271
104,0.000378621,0.000423192
105,0.00035423,0.000434644
106,0.000340331,0.000439794
107,0.000367429,0.000421053
108,0.000379107,0.000459464
109,0.00038631,0.000469073
110,0.000362624,0.000468778
111,0.000408206,0.000489466
112,0.00035344,0.000446024
113,0.000376607,0.000449059
114,0.000382456,0.000442475
115,0.000368168,0.000427762
116,0.000362568,0.000443427
117,0.000363457,0.000425273
118,0.000341627,0.000447671
119,0.000332156,0.000464471
120,0.00044596,0.000530969
121,0.000511129,0.000673345
122,0.000388419,0.000403089
123,0.00036383,0.00041661
124,0.000381866,0.000461719
125,0.000368503,0.000474645
126,0.000413511,0.000469374
127,0.000347054,0.00045072
128,0.000339087,0.000461522
129,0.000371113,0.000446165
130,0.000367496,0.000456548
131,0.000408846,0.000430463
132,0.000374438,0.000451694
133,0.000372281,0.000469368
134,0.000355601,0.000420452
135,0.000343179,0.000475647
136,0.00033794,0.00047437
137,0.0004576,0.000573246
138,0.00066894,0.000915494
139,0.000395774,0.000478683
140,0.000354563,0.000423619
141,0.000344334,0.000476591
142,0.000384809,0.000458546
143,0.000385074,0.00041288
144,0.000423746,0.000508688
145,0.000531395,0.000629856
146,0.00042548,0.000536116
147,0.000337986,0.000475612
148,0.000337769,0.000444749
149,0.000366181,0.0004227
150,0.000362975,0.000435513
,0.000367176,0.000470466
