Interval start,prague-throughput,cubic-throughput,,
0,5.73E+06,4.74E+06,,
1,6.60E+06,4.66E+06,,
2,5.90E+06,6.23E+06,,
3,7.29E+06,5.67E+06,,
4,6.87E+06,6.13E+06,,
5,7.65E+06,5.51E+06,,
6,6.74E+06,5.07E+06,,
7,8.31E+06,5.38E+06,,
8,7.88E+06,4.84E+06,,
9,7.10E+06,5.04E+06,,
10,8.46E+06,6.14E+06,,
11,8.99E+06,6.35E+06,,
12,8.23E+06,6.09E+06,,
13,7.11E+06,4.99E+06,,
14,8.47E+06,5.90E+06,,
15,8.76E+06,6.14E+06,,
16,7.86E+06,7.20E+06,,
17,7.73E+06,7.70E+06,,
18,6.60E+06,7.11E+06,,
19,7.37E+06,8.08E+06,,
20,6.77E+06,8.07E+06,,
21,7.71E+06,7.66E+06,,
22,7.73E+06,7.05E+06,,
23,6.67E+06,6.62E+06,,
24,6.81E+06,8.84E+06,,
25,5.89E+06,8.42E+06,,
26,5.48E+06,8.42E+06,,
27,5.20E+06,8.08E+06,,
28,5.80E+06,9.00E+06,,
29,5.82E+06,9.36E+06,,
30,5.62E+06,8.83E+06,,
31,5.10E+06,7.76E+06,,
32,5.28E+06,8.18E+06,,
33,5.02E+06,7.60E+06,,
34,4.98E+06,7.53E+06,,
35,4.68E+06,7.01E+06,,
36,4.66E+06,7.29E+06,,
37,4.07E+06,5.75E+06,,
38,4.51E+06,7.33E+06,,
39,2.85E+06,4.54E+06,,
40,3.26E+06,6.90E+06,,
41,2.04E+06,5.08E+06,,
42,2.45E+06,9.00E+06,,
43,1.78E+06,7.28E+06,,
44,1.85E+06,7.60E+06,,
45,2.23E+06,9.52E+06,,
46,2.25E+06,9.17E+06,,
47,2.37E+06,9.52E+06,,
48,2.40E+06,9.25E+06,,
49,2.44E+06,9.17E+06,,
50,2.62E+06,9.99E+06,,
51,2.58E+06,9.06E+06,,
52,2.84E+06,9.61E+06,,
53,2.11E+06,7.36E+06,,
54,2.81E+06,9.36E+06,,
55,2.82E+06,9.58E+06,,
56,3.00E+06,1.09E+07,,
57,2.94E+06,1.07E+07,,
58,2.58E+06,9.99E+06,,
59,2.40E+06,1.02E+07,,
60,2.07E+06,1.22E+07,,
61,1.82E+06,1.19E+07,,
62,2.02E+06,1.37E+07,,
63,1.81E+06,1.23E+07,,
64,1.76E+06,1.18E+07,,
65,1.45E+06,1.10E+07,,
66,1.36E+06,1.31E+07,,
67,1.18E+06,1.15E+07,,
68,1.42E+06,1.30E+07,,
69,1.46E+06,1.36E+07,,
70,1.51E+06,1.35E+07,,
71,1.54E+06,1.33E+07,,
72,1.60E+06,1.32E+07,,
73,1.48E+06,1.21E+07,,
74,1.67E+06,1.32E+07,,
75,1.71E+06,1.30E+07,,
76,1.42E+06,1.04E+07,,
77,2.19E+06,1.17E+07,,
78,2.01E+06,1.11E+07,,
79,2.24E+06,1.24E+07,,
80,2.29E+06,1.30E+07,,
81,1.52E+06,8.67E+06,,
82,1.42E+06,1.10E+07,,
83,1.41E+06,1.06E+07,,
84,1.42E+06,1.11E+07,,
85,1.17E+06,9.25E+06,,
86,1.31E+06,9.68E+06,,
87,1.42E+06,9.99E+06,,
88,1.45E+06,9.83E+06,,
89,1.60E+06,1.07E+07,,
90,1.59E+06,9.98E+06,,
91,1.63E+06,9.99E+06,,
92,1.75E+06,1.01E+07,,
93,1.66E+06,9.90E+06,,
94,1.64E+06,9.60E+06,,
95,1.88E+06,1.06E+07,,
96,1.81E+06,9.75E+06,,
97,1.74E+06,9.66E+06,,
98,1.57E+06,9.79E+06,,
99,1.76E+06,1.07E+07,,
100,1.58E+06,1.07E+07,,
101,1.64E+06,1.15E+07,,
102,1.65E+06,1.19E+07,,
103,1.53E+06,1.26E+07,,
104,1.20E+06,1.06E+07,,
105,1.41E+06,1.21E+07,,
106,1.24E+06,1.04E+07,,
107,1.43E+06,1.24E+07,,
108,1.29E+06,1.05E+07,,
109,1.53E+06,1.22E+07,,
110,1.57E+06,1.27E+07,,
111,1.51E+06,1.22E+07,,
112,1.39E+06,1.11E+07,,
113,1.12E+06,8.86E+06,,
114,1.29E+06,9.75E+06,,
115,1.41E+06,1.07E+07,,
116,1.37E+06,1.11E+07,,
117,1.39E+06,1.14E+07,,
118,1.16E+06,1.34E+07,,
119,947468,1.09E+07,,
120,821546,8.79E+06,,
121,819640,1.09E+07,,
122,1.07E+06,1.23E+07,,
123,892704,1.14E+07,,
124,1.19E+06,1.30E+07,,
125,1.12E+06,1.38E+07,,
126,1.19E+06,1.38E+07,,
127,908372,1.01E+07,,
128,1.15E+06,1.32E+07,,
129,861244,9.94E+06,,
130,1.15E+06,1.22E+07,,
131,1.06E+06,1.10E+07,,
132,857690,1.14E+07,,
133,768436,1.21E+07,,
134,592490,8.97E+06,,
135,785882,1.17E+07,,
136,800164,1.20E+07,,
137,901070,1.32E+07,,
138,916602,1.25E+07,,
139,846562,1.17E+07,,
140,833926,1.13E+07,,
141,885996,1.16E+07,,
142,833530,1.04E+07,,
143,706832,9.23E+06,,
144,558720,9.18E+06,,
145,697076,9.51E+06,,
146,713994,9.02E+06,,
147,760536,9.50E+06,,
148,1.00E+06,1.19E+07,,
149,1.01E+06,1.11E+07,,
150,974394,1.02E+07,,
,,,,
,2855408.305,9786918.543,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
