Interval start,prague-latency,cubic-latency
0,0.000288265,0.000168686
1,0.000187807,0.000146654
2,0.00047962,0.000231018
3,0.00028794,0.000115201
4,0.000185923,0.000156231
5,0.000194716,0.000156519
6,0.000222599,0.000165026
7,0.000182765,0.000122581
8,0.00021053,0.00017969
9,0.00019589,0.000145992
10,0.00017774,0.000124115
11,0.000307338,0.000203343
12,0.000312049,0.000202895
13,0.000220704,0.000281743
14,0.000230494,0.000288681
15,0.00018267,0.000231668
16,0.00018937,0.00016225
17,0.000183412,0.000167085
18,0.000177895,0.000124914
19,0.000195783,0.000142193
20,0.000184296,0.000124083
21,0.000171736,0.000132937
22,0.000175474,0.000161628
23,0.000124681,0.000163673
24,0.000233787,0.000204833
25,0.000160795,0.000220328
26,0.000204089,0.000133955
27,0.000164687,0.000160662
28,0.000222405,0.000245668
29,0.000303921,0.000324556
30,0.000189261,0.000188975
31,0.000159441,0.000127867
32,0.000181805,0.000134487
33,0.000175043,0.000142043
34,0.00012511,0.000168272
35,0.000205033,0.00014025
36,0.000148115,0.000145662
37,0.000166788,0.00014479
38,0.000245637,0.000228431
39,0.000170457,0.000160282
40,0.000130113,0.000217402
41,0.000119888,0.000177508
42,0.000124733,0.000163975
43,0.000183494,0.000182587
44,0.000114166,0.000163682
45,0.000194116,0.000201356
46,0.000244628,0.000211839
47,0.000169928,0.000261442
48,0.000271633,0.000363559
49,0.000295182,0.000276637
50,0.000136782,0.000197535
51,0.000124418,0.000198605
52,0.00022011,0.000246246
53,0.00011569,0.000216678
54,0.000132121,0.000260753
55,0.000112662,0.000271415
56,0.000185997,0.000217539
57,0.000135876,0.000224905
58,0.000109013,0.000234421
59,0.000140495,0.000221363
60,8.99E-05,0.0002429
61,0.000153972,0.00021866
62,0.000129409,0.000234415
63,0.00022352,0.000249855
64,0.000194976,0.000329983
65,0.000409016,0.000194543
66,0.000185173,0.000170743
67,0.000197758,0.000282378
68,0.000172622,0.000307424
69,0.00030123,0.000297061
70,0.000148244,0.000206238
71,0.000188487,0.000222724
72,0.000138581,0.00022167
73,9.07E-05,0.000246562
74,0.000184625,0.000281783
75,0.000261954,0.000224364
76,0.000205961,0.000199222
77,0.000144154,0.000274823
78,0.000194914,0.000201688
79,0.000121131,0.000234811
80,0.000125699,0.000226417
81,0.000201052,0.000237204
82,0.000133526,0.000222196
83,9.86E-05,0.00027866
84,0.000152843,0.000206986
85,0.000104988,0.000257026
86,0.000115516,0.000229635
87,0.000122714,0.000226924
88,0.000143942,0.000354634
89,0.000201955,0.000214681
90,0.000276107,0.000211909
91,0.000115122,0.000282935
92,0.000142813,0.000223936
93,0.000210514,0.000248834
94,0.000184182,0.000314561
95,0.000156272,0.000241418
96,0.00029371,0.000278817
97,0.000165717,0.000172646
98,0.000175722,0.000211572
99,0.000146865,0.00026993
100,0.000121085,0.000259548
101,0.000187253,0.000186374
102,0.000195958,0.000219155
103,0.000228185,0.000213581
104,0.000177816,0.000178249
105,0.000101066,0.000201833
106,0.000315809,0.000499131
107,8.69E-05,0.000201332
108,0.000311209,0.000251946
109,0.000106147,0.000200651
110,0.000134076,0.000228696
111,9.31E-05,0.000203043
112,0.000297643,0.000268946
113,0.000259938,0.000228254
114,0.000170653,0.000158952
115,0.000194619,0.000247162
116,0.00012189,0.000192109
117,0.000193108,0.000197409
118,6.71E-05,0.000184046
119,0.000109381,0.000355605
120,0.000172592,0.000241802
121,0.000208185,0.0002182
122,0.000235101,0.000209478
123,0.000210245,0.00022021
124,0.000115956,0.000181251
125,0.000108897,0.000270886
126,7.43E-05,0.000225003
127,0.000181901,0.000179644
128,0.000138234,0.000214143
129,0.000182747,0.000232656
130,0.000119274,0.000187582
131,0.000231155,0.000205945
132,0.0002231,0.000200975
133,0.000171084,0.000202542
134,0.000227812,0.000227482
135,0.000147491,0.00019375
136,8.55E-05,0.000219904
137,0.000146352,0.000243614
138,7.54E-05,0.000228222
139,0.000152439,0.000284814
140,0.000293092,0.000198662
141,0.000161952,0.000226034
142,0.000129948,0.000239777
143,0.000150609,0.00022662
144,0.000231382,0.000183821
145,0.000176329,0.000275705
146,9.63E-05,0.00022145
147,8.78E-05,0.000232115
148,5.08E-05,0.000212775
149,0.000267253,0.000262124
150,0.000151306,0.000522114
,0.000179263,0.000219188
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
