Interval start,prague-throughput,cubic-throughput,
0,1.22E+07,3.57E+06,
1,1.04E+07,4.02E+06,
2,5.70E+06,1.37E+06,
3,9.28E+06,2.43E+06,
4,9.83E+06,2.60E+06,
5,8.97E+06,2.62E+06,
6,8.22E+06,2.72E+06,
7,1.11E+07,3.16E+06,
8,8.66E+06,2.68E+06,
9,9.54E+06,3.11E+06,
10,9.94E+06,3.54E+06,
11,6.03E+06,3.61E+06,
12,6.03E+06,3.98E+06,
13,5.92E+06,4.00E+06,
14,5.36E+06,3.61E+06,
15,7.67E+06,3.91E+06,
16,8.28E+06,3.94E+06,
17,8.91E+06,4.20E+06,
18,9.48E+06,4.77E+06,
19,9.41E+06,4.94E+06,
20,7.31E+06,5.59E+06,
21,7.75E+06,6.21E+06,
22,6.96E+06,6.00E+06,
23,8.09E+06,7.24E+06,
24,6.39E+06,6.00E+06,
25,7.62E+06,6.88E+06,
26,7.32E+06,6.92E+06,
27,6.15E+06,5.92E+06,
28,4.96E+06,4.75E+06,
29,3.28E+06,3.21E+06,
30,5.41E+06,5.38E+06,
31,6.83E+06,6.73E+06,
32,6.69E+06,7.41E+06,
33,6.24E+06,6.84E+06,
34,6.52E+06,7.81E+06,
35,5.63E+06,7.04E+06,
36,5.71E+06,8.19E+06,
37,6.71E+06,7.25E+06,
38,5.39E+06,4.49E+06,
39,3.64E+06,9.82E+06,
40,2.75E+06,9.94E+06,
41,2.72E+06,1.04E+07,
42,2.77E+06,1.14E+07,
43,2.34E+06,1.05E+07,
44,2.97E+06,1.35E+07,
45,4.94E+06,7.33E+06,
46,5.04E+06,5.46E+06,
47,2.18E+06,1.04E+07,
48,2.89E+06,8.06E+06,
49,1.94E+06,9.11E+06,
50,2.28E+06,1.08E+07,
51,2.51E+06,1.27E+07,
52,3.57E+06,8.37E+06,
53,2.40E+06,1.13E+07,
54,1.85E+06,1.14E+07,
55,1.87E+06,9.83E+06,
56,2.05E+06,1.07E+07,
57,2.01E+06,1.08E+07,
58,2.08E+06,1.14E+07,
59,2.28E+06,1.19E+07,
60,1.97E+06,1.17E+07,
61,1.98E+06,1.17E+07,
62,2.19E+06,1.18E+07,
63,3.96E+06,6.44E+06,
64,4.55E+06,5.62E+06,
65,3.97E+06,4.08E+06,
66,2.41E+06,1.19E+07,
67,1.24E+06,1.04E+07,
68,1.43E+06,1.07E+07,
69,1.03E+06,8.35E+06,
70,1.51E+06,1.14E+07,
71,1.60E+06,1.22E+07,
72,1.73E+06,1.29E+07,
73,1.55E+06,1.30E+07,
74,1.36E+06,9.77E+06,
75,1.51E+06,1.19E+07,
76,1.81E+06,1.19E+07,
77,1.73E+06,1.08E+07,
78,1.80E+06,1.20E+07,
79,1.62E+06,1.29E+07,
80,1.69E+06,1.27E+07,
81,1.57E+06,1.13E+07,
82,1.54E+06,1.32E+07,
83,1.46E+06,1.08E+07,
84,1.60E+06,1.22E+07,
85,1.51E+06,1.15E+07,
86,1.64E+06,1.23E+07,
87,1.66E+06,1.25E+07,
88,961056,9.14E+06,
89,1.52E+06,1.12E+07,
90,1.64E+06,1.10E+07,
91,1.34E+06,9.17E+06,
92,1.53E+06,1.17E+07,
93,1.33E+06,1.04E+07,
94,1.21E+06,8.91E+06,
95,1.38E+06,1.04E+07,
96,1.29E+06,8.52E+06,
97,1.79E+06,1.31E+07,
98,3.03E+06,1.13E+07,
99,2.22E+06,1.14E+07,
100,1.45E+06,1.14E+07,
101,1.61E+06,1.21E+07,
102,1.40E+06,1.13E+07,
103,1.35E+06,1.12E+07,
104,1.29E+06,1.16E+07,
105,1.06E+06,1.64E+07,
106,1.19E+06,1.00E+07,
107,1.23E+06,1.37E+07,
108,936820,1.13E+07,
109,1.11E+06,1.27E+07,
110,923078,1.15E+07,
111,1.03E+06,1.15E+07,
112,851248,8.09E+06,
113,812358,9.82E+06,
114,1.12E+06,1.27E+07,
115,717570,1.13E+07,
116,742190,1.34E+07,
117,763584,1.32E+07,
118,848694,1.54E+07,
119,909176,1.17E+07,
120,572292,1.17E+07,
121,726386,1.34E+07,
122,644110,1.18E+07,
123,683078,1.15E+07,
124,762858,1.35E+07,
125,530032,9.80E+06,
126,569858,9.70E+06,
127,776748,1.25E+07,
128,713952,1.17E+07,
129,639300,1.08E+07,
130,784648,1.23E+07,
131,696968,1.18E+07,
132,707698,1.18E+07,
133,771748,1.25E+07,
134,619688,1.11E+07,
135,770824,1.33E+07,
136,769244,1.38E+07,
137,724744,1.19E+07,
138,736068,1.31E+07,
139,668462,1.07E+07,
140,776586,1.26E+07,
141,844852,1.29E+07,
142,616784,1.33E+07,
143,749628,1.27E+07,
144,714608,1.59E+07,
145,588942,1.07E+07,
146,690978,1.36E+07,
147,639436,1.30E+07,
148,784780,1.48E+07,
